Rank,Prospect,Pos,Comp_Rank,Comp_Name,Comp_Pos,Comp_Off,Comp_Def,Similarity
26,Tyler Tanner,PG,1,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,81.4
26,Tyler Tanner,PG,2,Devin Carter,PG,Secondary Ball Handler,Point of Attack,80.5
26,Tyler Tanner,PG,3,Jalen Williams,SG,Shot Creator,Helper,78.7
26,Tyler Tanner,PG,4,Tyrese Maxey,PG,Shot Creator,Chaser,78.6
26,Tyler Tanner,PG,5,De'Anthony Melton,PG,Primary Ball Handler,Point of Attack,78.4
28,Joshua Jefferson,PF/SF,1,Kyle Anderson,SF,Shot Creator,Mobile Big,81.3
28,Joshua Jefferson,PF/SF,2,Jalen Johnson,SF,Shot Creator,Helper,79.8
28,Joshua Jefferson,PF/SF,3,Scottie Barnes,PF,Shot Creator,Wing Stopper,78.6
28,Joshua Jefferson,PF/SF,4,Jonathan Kuminga,PF,Shot Creator,Wing Stopper,76.0
28,Joshua Jefferson,PF/SF,5,Ausar Thompson,SF,Roll + Cut Big,Point of Attack,75.4
29,Morez Johnson Jr.,PF,1,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,86.6
29,Morez Johnson Jr.,PF,2,Anthony Davis,PF,Shot Creator,Mobile Big,78.3
29,Morez Johnson Jr.,PF,3,Jarrett Allen,C,Roll + Cut Big,Mobile Big,77.2
29,Morez Johnson Jr.,PF,4,Alperen Sengun,C,Shot Creator,Mobile Big,75.8
29,Morez Johnson Jr.,PF,5,Karl-Anthony Towns,C,Shot Creator,Mobile Big,75.4
30,Dailyn Swain,SG/SF,1,Jimmy Butler,SF,Shot Creator,Wing Stopper,80.5
30,Dailyn Swain,SG/SF,2,Jordan Miller,SF,Secondary Ball Handler,Chaser,77.3
30,Dailyn Swain,SG/SF,3,Naji Marshall,SF,Stationary Shooter,Wing Stopper,77.2
30,Dailyn Swain,SG/SF,4,Jalen Williams,SG,Shot Creator,Helper,77.2
30,Dailyn Swain,SG/SF,5,Jalen Johnson,SF,Shot Creator,Helper,76.3
31,Isaiah Evans,SF,1,Aaron Nesmith,SF,Off Screen Shooter,Chaser,90.3
31,Isaiah Evans,SF,2,Andrew Wiggins,SF,Shot Creator,Wing Stopper,87.0
31,Isaiah Evans,SF,3,Zaccharie Risacher,SF,Stationary Shooter,Helper,86.8
31,Isaiah Evans,SF,4,Miles Bridges,PF,Shot Creator,Wing Stopper,85.7
31,Isaiah Evans,SF,5,Ace Bailey,SF,Movement Shooter,Helper,85.2
32,Ebuka Okorie,PG,1,Norman Powell,SG,Shot Creator,Chaser,86.3
32,Ebuka Okorie,PG,2,Shaedon Sharpe,SG,Shot Creator,Chaser,85.5
32,Ebuka Okorie,PG,3,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,83.2
32,Ebuka Okorie,PG,4,Jalen Williams,SG,Shot Creator,Helper,81.7
32,Ebuka Okorie,PG,5,Devin Booker,SG,Shot Creator,Helper,80.4
33,Meleek Thomas,SG/PG,1,Shaedon Sharpe,SG,Shot Creator,Chaser,90.7
33,Meleek Thomas,SG/PG,2,Dillon Brooks,SF,Shot Creator,Wing Stopper,87.8
33,Meleek Thomas,SG/PG,3,Saddiq Bey,SF,Shot Creator,Helper,85.7
33,Meleek Thomas,SG/PG,4,Jalen Green,SG,Shot Creator,Chaser,85.7
33,Meleek Thomas,SG/PG,5,Norman Powell,SG,Shot Creator,Chaser,85.2
34,Aday Mara,C,1,Zach Edey,C,Post Scorer,Anchor Big,73.0
34,Aday Mara,C,2,Khaman Maluach,C,Roll + Cut Big,Helper,65.8
34,Aday Mara,C,3,Ryan Kalkbrenner,C,Roll + Cut Big,Anchor Big,62.8
34,Aday Mara,C,4,Ivica Zubac,C,Post Scorer,Anchor Big,61.1
34,Aday Mara,C,5,Luke Kornet,C,Roll + Cut Big,Anchor Big,60.9
35,Henri Veesaar,C,1,Anthony Davis,PF,Shot Creator,Mobile Big,86.4
35,Henri Veesaar,C,2,Karl-Anthony Towns,C,Shot Creator,Mobile Big,84.1
35,Henri Veesaar,C,3,Donovan Clingan,C,Stretch Big,Anchor Big,83.4
35,Henri Veesaar,C,4,Zach Collins,C,Stretch Big,Mobile Big,81.8
35,Henri Veesaar,C,5,Alex Sarr,C,Shot Creator,Mobile Big,81.7
36,Alijah Arenas,SG,1,RJ Barrett,SF,Movement Shooter,Helper,85.6
36,Alijah Arenas,SG,2,Norman Powell,SG,Shot Creator,Chaser,82.2
36,Alijah Arenas,SG,3,Desmond Bane,SG,Primary Ball Handler,Chaser,81.0
36,Alijah Arenas,SG,4,Jalen Williams,SG,Shot Creator,Helper,80.6
36,Alijah Arenas,SG,5,Brandon Williams,PG,Slasher,Point of Attack,80.4
37,Flory Bidunga,C,1,Clint Capela,C,Roll + Cut Big,Mobile Big,85.6
37,Flory Bidunga,C,2,Yves Missi,C,Athletic Finisher,Mobile Big,85.1
37,Flory Bidunga,C,3,Joan Beringer,PF,Roll + Cut Big,Helper,82.6
37,Flory Bidunga,C,4,Daniel Gafford,C,Roll + Cut Big,Mobile Big,78.2
37,Flory Bidunga,C,5,Mitchell Robinson,C,Athletic Finisher,Mobile Big,76.2
39,Zuby Ejiofor,PF,1,Trayce Jackson-Davis,C,Roll + Cut Big,Mobile Big,74.0
39,Zuby Ejiofor,PF,2,Derik Queen,C,Shot Creator,Mobile Big,73.2
39,Zuby Ejiofor,PF,3,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,71.7
39,Zuby Ejiofor,PF,4,Daniel Gafford,C,Roll + Cut Big,Mobile Big,71.3
39,Zuby Ejiofor,PF,5,Jarrett Allen,C,Roll + Cut Big,Mobile Big,70.9
40,Alex Karaban,SF/PF,1,Jabari Smith Jr.,PF,Movement Shooter,Helper,93.0
40,Alex Karaban,SF/PF,2,Asa Newell,PF,Stationary Shooter,Helper,91.6
40,Alex Karaban,SF/PF,3,Quinten Post,PF,Stretch Big,Mobile Big,90.5
40,Alex Karaban,SF/PF,4,Aaron Nesmith,SF,Off Screen Shooter,Chaser,90.3
40,Alex Karaban,SF/PF,5,Andrew Wiggins,SF,Shot Creator,Wing Stopper,90.3
41,Braden Smith,PG,1,Josh Giddey,PG,Primary Ball Handler,Helper,82.3
41,Braden Smith,PG,2,Pat Spencer,PG,Primary Ball Handler,Chaser,82.2
41,Braden Smith,PG,3,Jamal Shead,PG,Primary Ball Handler,Point of Attack,82.0
41,Braden Smith,PG,4,Andrew Nembhard,PG,Primary Ball Handler,Point of Attack,81.9
41,Braden Smith,PG,5,Blake Wesley,SG,Shot Creator,Chaser,81.0
42,Motiejus Krivas,C,1,Nick Richards,C,Roll + Cut Big,Mobile Big,82.2
42,Motiejus Krivas,C,2,Mitchell Robinson,C,Athletic Finisher,Mobile Big,77.4
42,Motiejus Krivas,C,3,Adem Bona,C,Roll + Cut Big,Mobile Big,76.9
42,Motiejus Krivas,C,4,Rudy Gobert,C,Roll + Cut Big,Anchor Big,76.5
42,Motiejus Krivas,C,5,PJ Hall,C,Roll + Cut Big,Anchor Big,75.8
43,Juke Harris,SG,1,Norman Powell,SG,Shot Creator,Chaser,86.1
43,Juke Harris,SG,2,Cam Christie,SG,Movement Shooter,Point of Attack,80.8
43,Juke Harris,SG,3,Desmond Bane,SG,Primary Ball Handler,Chaser,80.7
43,Juke Harris,SG,4,Bryce McGowens,SG,Stationary Shooter,Chaser,80.3
43,Juke Harris,SG,5,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,79.7
44,Richie Saunders,SG,1,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,86.1
44,Richie Saunders,SG,2,Jeremiah Fears,PG,Primary Ball Handler,Point of Attack,85.8
44,Richie Saunders,SG,3,De'Anthony Melton,PG,Primary Ball Handler,Point of Attack,85.7
44,Richie Saunders,SG,4,Norman Powell,SG,Shot Creator,Chaser,83.3
44,Richie Saunders,SG,5,Jamaree Bouyea,PG,Secondary Ball Handler,Chaser,82.2
45,Tarris Reed Jr.,C,1,Clint Capela,C,Roll + Cut Big,Mobile Big,76.8
45,Tarris Reed Jr.,C,2,Isaiah Jackson,C,Roll + Cut Big,Mobile Big,73.8
45,Tarris Reed Jr.,C,3,Daniel Gafford,C,Roll + Cut Big,Mobile Big,73.7
45,Tarris Reed Jr.,C,4,Yves Missi,C,Athletic Finisher,Mobile Big,73.4
45,Tarris Reed Jr.,C,5,Trayce Jackson-Davis,C,Roll + Cut Big,Mobile Big,71.3
46,JT Toppin,PF,1,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,73.3
46,JT Toppin,PF,2,Paul Reed,C,Roll + Cut Big,Mobile Big,73.2
46,JT Toppin,PF,3,Scottie Barnes,PF,Shot Creator,Wing Stopper,71.9
46,JT Toppin,PF,4,Chet Holmgren,PF,Shot Creator,Mobile Big,70.8
46,JT Toppin,PF,5,Derik Queen,C,Shot Creator,Mobile Big,69.0
48,Alex Condon,PF/C,1,Derik Queen,C,Shot Creator,Mobile Big,82.0
48,Alex Condon,PF/C,2,Marvin Bagley III,PF,Roll + Cut Big,Mobile Big,79.0
48,Alex Condon,PF/C,3,Trayce Jackson-Davis,C,Roll + Cut Big,Mobile Big,78.3
48,Alex Condon,PF/C,4,Jarrett Allen,C,Roll + Cut Big,Mobile Big,76.9
48,Alex Condon,PF/C,5,Paolo Banchero,PF,Shot Creator,Wing Stopper,75.6
49,Ryan Conwell,SG,1,Tyler Herro,SG,Shot Creator,Chaser,90.7
49,Ryan Conwell,SG,2,Desmond Bane,SG,Primary Ball Handler,Chaser,88.9
49,Ryan Conwell,SG,3,CJ McCollum,SG,Primary Ball Handler,Chaser,88.2
49,Ryan Conwell,SG,4,Nickeil Alexander-Walker,SG,Primary Ball Handler,Point of Attack,88.0
49,Ryan Conwell,SG,5,Ayo Dosunmu,SG,Primary Ball Handler,Point of Attack,87.5
50,Jaden Bradley,PG,1,Brandon Williams,PG,Slasher,Point of Attack,85.0
50,Jaden Bradley,PG,2,Tre Jones,PG,Slasher,Point of Attack,84.0
50,Jaden Bradley,PG,3,Stephon Castle,PG,Primary Ball Handler,Point of Attack,81.8
50,Jaden Bradley,PG,4,Jalen Williams,SG,Shot Creator,Helper,80.3
50,Jaden Bradley,PG,5,Quenton Jackson,PG,Secondary Ball Handler,Point of Attack,79.2
51,Pryce Sandfort,SF,1,Simone Fontecchio,SF,Off Screen Shooter,Helper,88.6
51,Pryce Sandfort,SF,2,Brice Sensabaugh,SF,Movement Shooter,Helper,87.8
51,Pryce Sandfort,SF,3,Bobby Portis,PF,Versatile Big,Helper,86.4
51,Pryce Sandfort,SF,4,Klay Thompson,SF,Off Screen Shooter,Helper,86.0
51,Pryce Sandfort,SF,5,Rui Hachimura,PF,Shot Creator,Wing Stopper,85.8
52,Rueben Chinyelu,C,1,Mitchell Robinson,C,Athletic Finisher,Mobile Big,81.3
52,Rueben Chinyelu,C,2,Isaiah Jackson,C,Roll + Cut Big,Mobile Big,80.7
