Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,Md.,-9999,FG,FGA,3PA,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Offensive Archetype,Defensive Role
11.0,Jamal Murray,28.0,DEN,PG,62.0,62.0,2169.0,22.4,0.618,0.398,0.29,1.4,12.1,6.9,32.5,1.3,1.0,10.1,28.8,6.4,1.3,7.7,0.171,5.7,-1.5,4.3,3.4,AS,murraja01,0.484,16.0,0.602,0.135,0.202,0.137,0.128,0.398,0.52,0.688,0.45,0.561,0.411,0.429,0.313,0.554,0.01,11.0,0.103,0.489,2.0,2.0,murraja01,8.9,18.4,7.3,11.1,0.52,0.569,4.7,5.3,0.882,0.4,3.9,4.3,7.1,0.9,0.4,2.3,1.6,25.7,Shot Creator,Chaser
12.0,Derrick White,31.0,BOS,SG,63.0,63.0,2163.0,17.1,0.529,0.573,0.187,3.5,10.5,7.1,23.8,1.7,4.3,9.6,23.1,3.3,2.8,6.2,0.137,2.8,1.0,3.8,3.2,,whitede01,0.394,19.3,0.427,0.072,0.159,0.126,0.07,0.573,0.485,0.783,0.412,0.471,0.373,0.327,0.457,0.683,0.014,13.0,0.103,0.333,0.0,0.0,whitede01,6.0,15.3,8.7,6.5,0.485,0.488,2.6,2.9,0.9,1.1,3.3,4.4,5.7,1.2,1.4,1.7,1.5,17.5,Primary Ball Handler,Chaser
13.0,Jabari Smith Jr.,22.0,HOU,PF,62.0,62.0,2159.0,13.8,0.572,0.489,0.214,4.8,16.7,10.8,7.4,1.2,2.5,8.9,17.8,2.9,2.6,5.5,0.122,-0.4,0.0,-0.4,0.9,,smithja05,0.453,16.7,0.511,0.139,0.147,0.156,0.068,0.489,0.537,0.745,0.509,0.445,0.385,0.366,0.646,0.963,0.064,48.0,0.355,0.394,0.0,0.0,smithja05,5.6,12.3,6.0,6.3,0.537,0.543,2.0,2.6,0.779,1.5,5.3,6.8,1.8,0.8,0.9,1.3,2.5,15.4,Movement Shooter,Helper
14.0,Kon Knueppel,20.0,CHO,SF,66.0,65.0,2109.0,17.9,0.653,0.595,0.215,4.3,14.3,9.4,16.7,1.1,0.7,12.3,22.2,5.1,1.8,6.9,0.157,3.7,-0.4,3.2,2.8,,knuepko01,0.489,18.0,0.405,0.141,0.165,0.079,0.02,0.595,0.561,0.696,0.476,0.571,0.278,0.44,0.589,0.923,0.018,15.0,0.204,0.546,1.0,0.0,knuepko01,6.6,13.5,8.0,5.5,0.561,0.62,2.5,2.9,0.874,1.2,4.1,5.3,3.4,0.7,0.2,2.1,2.2,19.2,Movement Shooter,Chaser
15.0,Nickeil Alexander-Walker,27.0,ATL,SG,63.0,56.0,2094.0,15.1,0.586,0.526,0.245,1.9,9.4,5.6,16.2,1.8,1.5,11.2,24.1,1.7,1.9,3.6,0.083,0.5,-0.9,-0.3,0.9,,alexani01,0.44,16.2,0.474,0.222,0.126,0.075,0.052,0.526,0.509,0.628,0.402,0.425,0.38,0.378,0.534,0.917,0.008,7.0,0.263,0.455,0.0,0.0,alexani01,6.8,15.4,8.1,7.3,0.509,0.54,3.4,3.8,0.895,0.6,2.9,3.4,3.7,1.2,0.5,2.2,2.2,20.0,Primary Ball Handler,Point of Attack
16.0,DeMar DeRozan,36.0,SAC,PF,66.0,66.0,2093.0,17.6,0.591,0.151,0.43,1.5,9.4,5.3,18.7,1.7,0.9,6.9,22.4,4.4,0.5,4.8,0.111,0.7,-0.8,-0.1,1.0,,derozde01,0.492,14.2,0.849,0.089,0.194,0.297,0.27,0.151,0.523,0.766,0.563,0.465,0.476,0.323,0.433,0.881,0.009,7.0,0.362,0.383,0.0,0.0,derozde01,6.4,13.1,2.0,11.1,0.523,0.517,4.9,5.6,0.865,0.4,2.6,3.0,3.9,1.1,0.3,1.2,2.0,18.4,Shot Creator,Helper
17.0,Trey Murphy III,25.0,NOP,SF,59.0,59.0,2089.0,18.9,0.617,0.528,0.238,3.1,14.2,8.6,16.7,2.1,0.8,9.4,23.1,4.4,1.3,5.7,0.132,3.4,-0.7,2.6,2.4,,murphtr02,0.474,16.7,0.472,0.22,0.157,0.068,0.026,0.528,0.569,0.789,0.369,0.4,0.36,0.388,0.722,0.826,0.108,95.0,0.094,0.511,0.0,0.0,murphtr02,7.6,16.1,8.5,7.6,0.569,0.576,3.4,3.8,0.885,1.0,4.6,5.7,3.9,1.5,0.3,1.8,2.1,21.9,Secondary Ball Handler,Helper
18.0,Payton Pritchard,28.0,BOS,PG,64.0,49.0,2086.0,17.1,0.575,0.516,0.129,3.0,10.7,6.9,24.1,1.2,0.3,8.3,21.2,4.9,1.9,6.8,0.157,2.4,-0.4,2.0,2.1,,pritcpa01,0.459,18.6,0.484,0.077,0.161,0.186,0.06,0.516,0.566,0.721,0.594,0.539,0.377,0.359,0.214,0.713,0.0,0.0,0.07,0.5,0.0,0.0,pritcpa01,6.4,13.8,7.1,6.7,0.566,0.552,1.5,1.8,0.868,0.9,3.2,4.1,5.3,0.8,0.1,1.3,1.4,16.8,Primary Ball Handler,Chaser
19.0,Jalen Johnson,24.0,ATL,SF,59.0,59.0,2079.0,21.2,0.585,0.266,0.332,4.3,27.7,15.9,34.4,1.8,1.3,14.6,27.1,3.3,3.1,6.4,0.147,3.1,1.4,4.4,3.4,AS,johnsja05,0.495,11.6,0.734,0.261,0.282,0.143,0.049,0.266,0.547,0.745,0.449,0.438,0.367,0.351,0.491,0.809,0.078,77.0,0.067,0.222,0.0,0.0,johnsja05,8.5,17.1,4.5,12.6,0.547,0.541,4.4,5.7,0.782,1.4,8.9,10.4,8.0,1.3,0.5,3.3,2.2,22.9,Shot Creator,Helper
20.0,Jaden McDaniels,25.0,MIN,PF,65.0,65.0,2073.0,13.9,0.621,0.312,0.231,3.7,10.9,7.4,12.3,1.6,2.7,13.7,18.2,2.5,2.2,4.7,0.109,-0.8,0.4,-0.5,0.8,,mcdanja02,0.52,12.3,0.688,0.223,0.281,0.142,0.042,0.312,0.565,0.744,0.459,0.525,0.448,0.422,0.657,0.935,0.097,58.0,0.39,0.482,0.0,0.0,mcdanja02,5.6,10.7,3.4,7.4,0.565,0.586,2.1,2.5,0.851,1.0,3.2,4.3,2.8,1.1,1.0,1.9,3.4,14.7,Athletic Finisher,Point of Attack
21.0,Donte DiVincenzo,29.0,MIN,SG,67.0,67.0,2072.0,13.4,0.58,0.763,0.136,3.5,12.1,7.9,17.7,2.1,1.1,12.0,16.6,2.6,2.3,4.9,0.114,0.4,0.7,1.1,1.6,,divindo01,0.416,20.7,0.237,0.108,0.09,0.028,0.012,0.763,0.509,0.603,0.426,0.421,0.5,0.387,0.585,0.915,0.021,12.0,0.23,0.361,0.0,0.0,divindo01,4.2,10.1,7.7,2.4,0.509,0.563,1.0,1.4,0.761,1.0,3.4,4.4,4.1,1.4,0.4,1.5,2.5,12.4,Movement Shooter,Chaser
22.0,Dyson Daniels,22.0,ATL,SG,62.0,62.0,2068.0,14.8,0.528,0.144,0.156,7.1,14.3,10.7,24.9,2.7,1.1,14.2,15.9,2.1,2.7,4.7,0.109,-1.1,1.5,0.4,1.3,,daniedy01,0.507,7.3,0.856,0.401,0.395,0.058,0.002,0.144,0.57,0.705,0.432,0.595,0.0,0.132,0.583,1.0,0.077,45.0,0.308,0.071,0.0,0.0,daniedy01,5.2,10.2,1.5,8.7,0.57,0.517,1.0,1.6,0.606,2.2,4.4,6.6,6.2,1.9,0.4,1.8,2.1,11.5,Primary Ball Handler,Point of Attack
23.0,VJ Edgecombe,20.0,PHI,SG,59.0,59.0,2066.0,13.1,0.532,0.429,0.186,5.1,12.4,8.7,15.9,2.0,1.5,11.5,19.6,1.1,1.8,2.9,0.067,-0.9,-0.2,-1.1,0.5,,edgecvj01,0.424,15.0,0.571,0.233,0.171,0.101,0.066,0.429,0.478,0.612,0.351,0.405,0.442,0.353,0.453,0.84,0.07,45.0,0.136,0.304,0.0,0.0,edgecvj01,5.6,13.3,5.7,7.6,0.478,0.5,2.0,2.5,0.815,1.6,3.9,5.5,3.8,1.5,0.5,1.9,2.9,15.3,Primary Ball Handler,Point of Attack
24.0,Immanuel Quickley,26.0,TOR,PG,63.0,63.0,2055.0,16.9,0.585,0.524,0.238,1.9,12.7,7.2,26.9,1.8,0.2,9.5,21.5,3.8,2.3,6.1,0.143,2.1,0.2,2.3,2.2,,quickim01,0.45,17.7,0.476,0.107,0.178,0.152,0.039,0.524,0.529,0.722,0.487,0.453,0.485,0.378,0.425,0.868,0.005,4.0,0.143,0.381,0.0,0.0,quickim01,6.0,13.4,7.0,6.4,0.529,0.549,2.6,3.2,0.821,0.6,3.6,4.2,6.0,1.2,0.1,1.6,2.1,17.3,Primary Ball Handler,Point of Attack
25.0,Cade Cunningham,24.0,DET,PG,59.0,59.0,2053.0,21.9,0.565,0.307,0.329,2.8,15.1,9.1,45.1,2.0,2.5,14.6,30.4,4.3,3.4,7.7,0.179,4.9,1.5,6.4,4.4,AS,cunnica01,0.46,13.2,0.693,0.174,0.304,0.142,0.073,0.307,0.509,0.622,0.471,0.463,0.488,0.35,0.28,0.479,0.039,39.0,0.052,0.389,0.0,0.0,cunnica01,8.8,19.1,5.9,13.2,0.509,0.514,5.1,6.3,0.811,0.9,4.8,5.7,10.1,1.5,0.9,3.7,3.2,24.7,Shot Creator,Chaser
26.0,Ryan Rollins,23.0,MIL,PG,63.0,56.0,2033.0,15.6,0.573,0.435,0.146,2.7,13.5,8.1,26.2,2.3,1.3,15.4,23.5,1.1,1.7,2.8,0.066,0.2,-0.3,-0.2,0.9,,rolliry01,0.464,15.4,0.565,0.214,0.158,0.12,0.072,0.435,0.509,0.69,0.36,0.495,0.323,0.406,0.251,0.651,0.016,14.0,0.233,0.437,0.0,0.0,rolliry01,6.3,13.6,5.9,7.7,0.509,0.553,1.5,2.0,0.776,0.8,3.9,4.7,5.6,1.5,0.4,2.7,2.7,16.6,Primary Ball Handler,Point of Attack
27.0,Anthony Edwards,24.0,MIN,SG,57.0,57.0,2023.0,22.7,0.624,0.42,0.356,1.9,13.7,7.9,17.4,1.9,2.1,10.5,31.6,4.4,2.4,6.8,0.16,5.2,-0.2,5.1,3.6,AS,edwaran01,0.494,15.7,0.58,0.183,0.15,0.146,0.101,0.42,0.56,0.758,0.477,0.503,0.407,0.402,0.299,0.571,0.044,45.0,0.091,0.467,0.0,0.0,edwaran01,10.2,20.6,8.6,11.9,0.56,0.578,5.9,7.3,0.803,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.8,29.7,Shot Creator,Chaser
28.0,Rudy Gobert,33.0,MIN,C,64.0,64.0,2013.0,17.7,0.682,0.01,0.688,13.7,25.8,19.9,7.6,1.2,4.4,14.2,12.6,4.4,3.1,7.6,0.181,0.2,0.8,1.0,1.5,,goberru01,0.711,2.4,0.99,0.766,0.206,0.013,0.005,0.01,0.718,0.798,0.444,0.6,0.0,0.0,0.668,,0.437,157.0,0.5,0.0,0.0,0.0,goberru01,4.4,6.2,0.1,6.1,0.718,0.711,2.2,4.2,0.517,3.8,7.5,11.3,1.8,0.8,1.6,1.3,2.7,10.9,Roll + Cut Big,Anchor Big
29.0,Jaylen Brown,29.0,BOS,SF,59.0,59.0,2010.0,22.3,0.57,0.262,0.325,3.7,18.9,11.4,26.7,1.5,1.3,12.6,36.3,2.9,2.7,5.6,0.134,3.7,-0.1,3.6,2.8,AS,brownja02,0.479,13.8,0.738,0.152,0.26,0.175,0.152,0.262,0.525,0.755,0.482,0.458,0.446,0.347,0.325,0.564,0.026,25.0,0.104,0.371,0.0,0.0,brownja02,10.4,21.8,5.7,16.1,0.525,0.524,5.6,7.1,0.785,1.1,6.0,7.1,5.2,1.0,0.4,3.6,2.7,28.4,Shot Creator,Helper
30.0,James Harden,36.0,2TM,PG,57.0,57.0,1989.0,21.2,0.608,0.51,0.471,2.1,13.7,8.1,36.0,1.6,1.0,15.3,29.5,4.7,1.6,6.3,0.153,4.9,-0.8,4.1,3.0,,hardeja01,0.432,16.8,0.49,0.136,0.235,0.084,0.035,0.51,0.5,0.68,0.432,0.468,0.333,0.366,0.117,0.406,0.0,0.0,0.054,0.269,0.0,0.0,hardeja01,7.1,16.5,8.4,8.1,0.5,0.525,6.9,7.8,0.887,0.6,4.3,4.9,8.1,1.1,0.4,3.6,1.9,24.2,Shot Creator,Wing Stopper
31.0,Donovan Mitchell,29.0,CLE,SG,59.0,59.0,1970.0,23.3,0.613,0.454,0.301,2.4,12.3,7.3,29.0,2.2,0.8,11.4,32.7,4.9,2.2,7.1,0.174,5.5,0.0,5.5,3.8,AS,mitchdo01,0.483,16.0,0.546,0.186,0.183,0.107,0.07,0.454,0.58,0.682,0.555,0.547,0.429,0.365,0.258,0.618,0.016,15.0,0.119,0.4,0.0,0.0,mitchdo01,9.8,20.3,9.2,11.1,0.58,0.565,5.2,6.1,0.856,0.7,3.7,4.5,5.8,1.6,0.3,3.0,2.3,28.2,Shot Creator,Helper
32.0,Karl-Anthony Towns,30.0,NYK,C,63.0,63.0,1969.0,21.3,0.614,0.31,0.41,10.6,31.4,20.9,14.0,1.3,1.8,13.2,25.6,4.4,3.4,7.8,0.191,2.3,0.5,2.9,2.4,AS,townska01,0.493,11.0,0.69,0.397,0.227,0.029,0.037,0.31,0.547,0.621,0.475,0.48,0.25,0.37,0.565,0.95,0.075,58.0,0.052,0.5,0.0,0.0,townska01,6.8,13.8,4.3,9.5,0.547,0.55,4.8,5.7,0.854,3.0,8.8,11.9,2.9,0.9,0.6,2.5,3.6,20.0,Shot Creator,Mobile Big
33.0,Miles Bridges,27.0,CHO,PF,62.0,62.0,1969.0,15.6,0.559,0.441,0.248,3.5,17.0,10.4,16.5,0.9,1.4,8.7,22.8,3.0,1.8,4.8,0.118,1.0,-0.5,0.6,1.3,,bridgmi02,0.445,14.1,0.559,0.219,0.282,0.041,0.016,0.441,0.538,0.708,0.445,0.361,0.286,0.326,0.525,0.929,0.067,51.0,0.275,0.358,1.0,1.0,bridgmi02,6.3,14.1,6.2,7.9,0.538,0.517,2.9,3.5,0.834,1.0,4.9,5.9,3.4,0.6,0.5,1.5,1.7,17.5,Shot Creator,Wing Stopper
34.0,Royce O'Neale,32.0,PHO,SF,67.0,62.0,1959.0,11.3,0.585,0.825,0.054,2.7,16.3,9.3,13.1,1.9,1.2,14.1,14.4,1.4,2.4,3.8,0.093,-0.5,0.8,0.3,1.2,,onealro01,0.415,22.9,0.175,0.061,0.088,0.023,0.004,0.825,0.48,0.676,0.347,0.462,0.5,0.401,0.596,0.941,0.007,4.0,0.163,0.533,1.0,1.0,onealro01,3.5,8.3,6.9,1.5,0.48,0.581,0.3,0.4,0.7,0.7,4.2,4.9,2.8,1.1,0.4,1.4,2.3,10.0,Movement Shooter,Wing Stopper
36.0,Paolo Banchero,23.0,ORL,PF,55.0,55.0,1922.0,17.9,0.566,0.238,0.492,3.5,23.8,13.6,22.5,0.9,1.6,13.0,27.4,1.6,2.4,4.0,0.1,1.4,0.0,1.4,1.7,,banchpa01,0.463,11.2,0.762,0.283,0.262,0.155,0.062,0.238,0.511,0.713,0.427,0.336,0.382,0.308,0.47,0.785,0.064,49.0,0.175,0.432,0.0,0.0,banchpa01,7.5,16.1,3.8,12.3,0.511,0.499,6.1,7.9,0.771,1.1,7.5,8.6,5.0,0.6,0.6,2.9,1.9,22.2,Shot Creator,Wing Stopper
37.0,Luka Dončić,26.0,LAL,PG,54.0,54.0,1918.0,27.9,0.616,0.473,0.458,2.2,23.3,13.0,41.2,2.1,1.4,13.0,37.6,5.8,2.3,8.1,0.202,7.9,1.2,9.1,5.4,AS,doncilu01,0.475,17.8,0.527,0.077,0.2,0.184,0.066,0.473,0.573,0.837,0.567,0.534,0.392,0.367,0.21,0.404,0.003,3.0,0.058,0.242,0.0,0.0,doncilu01,10.6,22.2,10.5,11.7,0.573,0.562,7.9,10.2,0.776,0.6,7.3,7.9,8.5,1.5,0.5,4.0,2.4,32.9,Shot Creator,Helper
38.0,Matas Buzelis,21.0,CHI,PF,66.0,66.0,1908.0,15.0,0.592,0.503,0.257,3.8,16.6,10.3,10.7,1.1,4.4,12.9,22.5,0.7,1.8,2.5,0.062,-0.5,-0.3,-0.9,0.5,,buzelma01,0.467,14.3,0.497,0.322,0.153,0.015,0.008,0.503,0.574,0.65,0.451,0.167,0.667,0.361,0.566,0.931,0.093,66.0,0.259,0.365,0.0,0.0,buzelma01,5.7,12.1,6.1,6.0,0.574,0.558,2.4,3.1,0.785,1.0,4.6,5.6,2.1,0.7,1.5,2.0,2.4,15.9,Movement Shooter,Helper
39.0,Collin Gillespie,26.0,PHO,PG,66.0,47.0,1905.0,16.1,0.591,0.675,0.108,4.1,12.3,8.1,24.1,2.2,0.7,13.0,18.9,3.4,2.1,5.5,0.139,2.5,0.6,3.1,2.4,,gilleco01,0.431,21.1,0.325,0.051,0.095,0.135,0.044,0.675,0.454,0.556,0.448,0.432,0.419,0.42,0.365,0.735,0.0,0.0,0.151,0.486,0.0,0.0,gilleco01,4.6,10.7,7.2,3.5,0.454,0.573,1.0,1.2,0.855,1.1,3.1,4.2,4.8,1.3,0.2,1.7,1.6,13.2,Primary Ball Handler,Point of Attack
40.0,Onyeka Okongwu,25.0,ATL,C,60.0,49.0,1882.0,16.6,0.599,0.438,0.226,6.3,20.9,13.5,14.4,1.8,3.2,11.9,20.2,2.2,2.6,4.8,0.123,0.1,0.7,0.8,1.4,,okongon01,0.487,13.7,0.562,0.226,0.283,0.049,0.004,0.438,0.564,0.703,0.454,0.583,0.333,0.388,0.746,1.0,0.067,44.0,0.275,0.398,0.0,0.0,okongon01,5.9,12.2,5.3,6.9,0.564,0.572,2.1,2.8,0.764,1.9,6.0,7.9,3.2,1.2,1.1,1.8,3.4,16.0,Stationary Shooter,Mobile Big
41.0,Saddiq Bey,26.0,NOP,SF,61.0,53.0,1881.0,17.1,0.575,0.429,0.32,5.8,14.3,10.0,11.9,1.5,0.3,5.7,21.4,3.8,0.8,4.6,0.117,2.2,-1.9,0.3,1.1,,beysa01,0.448,13.6,0.571,0.282,0.194,0.069,0.025,0.429,0.527,0.64,0.458,0.345,0.3,0.342,0.467,0.915,0.054,43.0,0.316,0.352,1.0,0.0,beysa01,5.9,13.1,5.6,7.5,0.527,0.521,3.5,4.2,0.839,1.7,4.0,5.7,2.5,0.9,0.1,0.9,1.2,17.1,Shot Creator,Helper
42.0,Naji Marshall,28.0,DAL,SF,64.0,37.0,1880.0,15.6,0.606,0.268,0.376,3.3,13.6,8.6,15.6,1.7,0.3,11.3,19.8,2.5,1.7,4.2,0.107,-0.5,0.3,-0.3,0.8,,marshna01,0.524,11.4,0.732,0.212,0.36,0.136,0.024,0.268,0.607,0.776,0.572,0.5,0.25,0.298,0.497,0.944,0.013,9.0,0.481,0.333,0.0,0.0,marshna01,5.5,10.5,2.8,7.7,0.607,0.564,3.0,4.0,0.756,0.9,3.9,4.8,3.1,1.0,0.1,1.6,1.9,14.9,Stationary Shooter,Wing Stopper
43.0,Bam Adebayo,28.0,MIA,C,59.0,59.0,1872.0,18.5,0.551,0.337,0.356,6.8,24.9,15.8,13.3,1.6,2.0,8.8,25.4,2.0,3.2,5.2,0.132,1.4,0.6,2.0,1.9,,adebaba01,0.444,13.1,0.663,0.211,0.254,0.15,0.049,0.337,0.506,0.663,0.447,0.446,0.311,0.324,0.621,0.95,0.077,62.0,0.33,0.33,0.0,0.0,adebaba01,7.0,15.7,5.3,10.4,0.506,0.499,4.4,5.6,0.779,2.1,7.7,9.8,2.9,1.1,0.7,1.7,1.7,20.0,Shot Creator,Mobile Big
44.0,Cooper Flagg,19.0,DAL,SF,55.0,55.0,1850.0,17.0,0.546,0.211,0.278,3.9,16.7,10.4,20.2,1.6,2.1,10.9,25.7,0.8,2.1,2.9,0.076,0.5,0.5,1.0,1.4,,flaggco01,0.469,11.5,0.789,0.217,0.317,0.147,0.109,0.211,0.515,0.759,0.449,0.447,0.316,0.295,0.391,0.732,0.068,52.0,0.137,0.192,0.0,0.0,flaggco01,7.7,16.4,3.5,12.9,0.515,0.5,3.7,4.5,0.808,1.2,5.4,6.6,4.3,1.1,0.9,2.2,2.1,20.0,Shot Creator,Helper
