Rank,Name,School,Pos,Grade,Offensive Archetype,Defensive Role,Notes,sr_url,sr_found,year_id,team_name_abbr,conf_abbr,class,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,tov_pct
46,JT Toppin,Texas Tech,PF,Junior,Versatile Big,Mobile Big,,https://www.sports-reference.com/cbb/players/jt-toppin-1.html,1,2025-26,Texas Tech,Big 12,JR,F,25,25,34.8,9.4,17.1,.548,0.6,2.3,.281,8.7,14.8,.589,.567,2.5,4.3,.579,10.8,2.1,1.4,1.7,2.5,2.8,21.8,.571,.133,.251,11.5
47,Dash Daniels,Melbourne,SG,International,Movement Shooter,Chaser,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Alex Condon,Florida,PF/C,Junior,Stretch Big,Mobile Big,,https://www.sports-reference.com/cbb/players/alex-condon-1.html,1,2025-26,Florida,SEC,JR,F,34,34,30.5,5.6,10.0,.556,0.3,1.6,.170,5.3,8.4,.627,.569,3.7,5.7,.649,7.5,3.6,0.7,1.4,2.4,2.8,15.1,.594,.156,.571,16.1
49,Ryan Conwell,Louisville,SG,Senior,Off Screen Shooter,Chaser,,https://www.sports-reference.com/cbb/players/ryan-conwell-1.html,1,2025-26,Louisville,ACC,SR,G,34,34,30.9,5.9,14.5,.408,3.3,9.6,.345,2.6,4.9,.530,.521,3.6,4.4,.832,4.8,2.7,1.1,0.2,2.1,2.8,18.8,.566,.659,.302,11.5
50,Jaden Bradley,Arizona,PG,Senior,Primary Ball Handler,Point of Attack,,https://www.sports-reference.com/cbb/players/jaden-bradley-1.html,1,2025-26,Arizona,Big 12,SR,G,38,38,30.7,4.4,9.5,.460,0.7,1.7,.394,3.7,7.8,.475,.496,3.9,4.8,.808,3.5,4.4,1.4,0.1,1.7,2.0,13.3,.564,.183,.504,12.7
51,Pryce Sandfort,Nebraska,SF,Junior,Movement Shooter,Wing Stopper,,https://www.sports-reference.com/cbb/players/pryce-sandfort-1.html,1,2025-26,Nebraska,Big Ten,JR,F,35,35,33.6,6.2,12.9,.479,3.7,8.9,.416,2.5,4.1,.615,.621,2.0,2.4,.855,4.9,2.0,1.0,0.3,0.7,1.7,18.1,.644,.684,.183,4.6
52,Rueben Chinyelu,Florida,C,Junior,Roll + Cut Big,Anchor Big,,https://www.sports-reference.com/cbb/players/rueben-chinyelu-1.html,1,2025-26,Florida,SEC,JR,C,35,35,24.5,4.3,7.3,.584,0.0,0.1,.000,4.3,7.3,.588,.584,2.3,3.4,.695,11.2,0.7,0.8,1.0,1.5,2.9,10.9,.610,.008,.459,14.2
53,JoJo Tugler,Houston,PF,Junior,Athletic Finisher,Mobile Big,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Milan Momcilovic,Iowa State,SF/PF,Junior,Shot Creator,Helper,,https://www.sports-reference.com/cbb/players/milan-momcilovic-2.html,1,2025-26,Iowa St.,Big 12,JR,F,37,37,30.5,5.6,11.1,.506,3.7,7.5,.487,1.9,3.6,.545,.672,1.9,2.2,.878,3.1,1.0,0.8,0.2,0.8,1.6,16.9,.693,.679,.200,6.4
55,Bruce Thornton,Ohio State,PG,Senior,Primary Ball Handler,Point of Attack,,https://www.sports-reference.com/cbb/players/bruce-thornton-1.html,1,2025-26,Ohio St.,Big Ten,SR,G,34,34,36.5,7.0,12.6,.554,1.8,4.6,.400,5.1,8.0,.641,.626,4.1,5.0,.829,5.1,3.9,1.1,0.2,1.3,1.8,19.9,.665,.362,.397,8.0
56,Emanuel Sharp,Houston,SG,Senior,Off Screen Shooter,Chaser,,https://www.sports-reference.com/cbb/players/emanuel-sharp-1.html,1,2025-26,Houston,Big 12,SR,G,37,37,29.4,4.8,11.5,.413,2.6,7.1,.372,2.1,4.5,.479,.527,3.3,3.7,.891,3.0,1.7,1.2,0.1,1.0,3.0,15.5,.582,.613,.324,6.8
57,Paul McNeil Jr.,NC State,SG,Sophomore,Movement Shooter,Chaser,,https://www.sports-reference.com/cbb/players/paul-mcneil-jr-1.html,1,2025-26,NC State,ACC,SO,G,34,32,28.6,4.1,9.4,.433,3.1,7.2,.427,1.0,2.1,.452,.597,2.6,3.2,.824,3.6,0.8,0.6,0.4,0.4,1.6,13.8,.635,.771,.339,3.6
58,Otega Oweh,Kentucky,SG,Senior,Slasher,Wing Stopper,,https://www.sports-reference.com/cbb/players/otega-oweh-1.html,1,2025-26,Kentucky,SEC,SR,G,36,36,32.8,6.5,14.0,.465,1.3,3.8,.333,5.3,10.2,.514,.510,4.4,6.0,.731,4.8,2.7,1.8,0.3,2.1,2.7,18.6,.554,.268,.429,10.9
59,Tamin Lipsey,Iowa State,PG,Senior,Secondary Ball Handler,Point of Attack,,https://www.sports-reference.com/cbb/players/tamin-lipsey-1.html,1,2025-26,Iowa St.,Big 12,SR,G,34,34,31.4,4.9,10.8,.459,1.2,3.9,.316,3.7,6.9,.541,.516,2.4,3.6,.656,3.9,5.1,2.3,0.0,1.5,1.9,13.5,.540,.363,.333,10.9
60,Trevon Brazile,Arkansas,PF,Senior,Stretch Big,Mobile Big,,https://www.sports-reference.com/cbb/players/trevon-brazile-1.html,1,2025-26,Arkansas,SEC,SR,F,36,35,31.5,4.7,8.9,.525,1.3,3.7,.341,3.4,5.3,.653,.595,2.4,3.3,.717,7.3,1.6,1.5,1.6,1.1,2.0,13.0,.619,.410,.373,9.1
61,Baba Miller,Cincinnati,SF,Senior,Versatile Big,Mobile Big,,https://www.sports-reference.com/cbb/players/baba-miller-1.html,1,2025-26,Cincinnati,Big 12,SR,F,31,31,31.9,4.8,9.0,.529,0.3,1.7,.192,4.5,7.4,.605,.546,3.2,4.8,.658,10.3,3.7,0.7,1.2,2.2,2.3,13.0,.576,.186,.532,16.2
62,Keyshawn Hall,Auburn,SF,Senior,Shot Creator,Wing Stopper,,https://www.sports-reference.com/cbb/players/keyshawn-hall-1.html,1,2025-26,Auburn,SEC,SR,G,34,34,33.7,5.5,12.4,.444,1.8,4.8,.377,3.7,7.7,.487,.517,6.5,7.6,.857,6.9,2.6,0.7,0.7,2.5,2.3,19.4,.603,.383,.612,13.3
63,Nate Bittle,Oregon,C,Senior,Stretch Big,Anchor Big,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
