Player,Offensive Archetype,Defensive Role
Harrison Barnes,Movement Shooter,Wing Stopper
Harrison Ingram,Low Minute,Chaser
Herbert Jones,Stationary Shooter,Point of Attack
Hugo González,Stationary Shooter,Wing Stopper
Hunter Dickinson,Low Minute,Low Activity
Hunter Sallis,Low Minute,Chaser
Hunter Tyson,Movement Shooter,Low Activity
Immanuel Quickley,Primary Ball Handler,Point of Attack
Isaac Jones,Low Minute,Low Activity
Isaac Okoro,Stationary Shooter,Wing Stopper
Isaiah Collier,Shot Creator,Point of Attack
Isaiah Crawford,Low Minute,Helper
Isaiah Hartenstein,Roll + Cut Big,Mobile Big
Isaiah Jackson,Roll + Cut Big,Mobile Big
Isaiah Joe,Movement Shooter,Chaser
Isaiah Livers,Stationary Shooter,Helper
Isaiah Stevens,Low Minute,Low Activity
Isaiah Stewart,Stretch Big,Mobile Big
Ivica Zubac,Post Scorer,Anchor Big
Jabari Smith Jr.,Movement Shooter,Helper
Jabari Walker,Stationary Shooter,Helper
Jacob Toppin,Low Minute,Chaser
Jaden Hardy,Movement Shooter,Low Activity
Jaden Ivey,Movement Shooter,Chaser
Jaden McDaniels,Athletic Finisher,Point of Attack
Jae'Sean Tate,Movement Shooter,Helper
Jahmai Mashack,Movement Shooter,Helper
Jahmir Young,Low Minute,Point of Attack
Jaime Jaquez Jr.,Shot Creator,Helper
Jake LaRavia,Stationary Shooter,Point of Attack
Ja'Kobe Walter,Movement Shooter,Point of Attack
Jakob Poeltl,Roll + Cut Big,Mobile Big
Jalen Brunson,Shot Creator,Low Activity
Jalen Duren,Shot Creator,Mobile Big
Jalen Green,Shot Creator,Chaser
Jalen Johnson,Shot Creator,Helper
Jalen Pickett,Secondary Ball Handler,Chaser
Jalen Smith,Stretch Big,Mobile Big
Jalen Suggs,Primary Ball Handler,Point of Attack
Jalen Williams,Shot Creator,Helper
Jalen Wilson,Movement Shooter,Helper
Jamal Cain,Stationary Shooter,Point of Attack
Jamal Murray,Shot Creator,Chaser
Jamal Shead,Primary Ball Handler,Point of Attack
Jamaree Bouyea,Secondary Ball Handler,Chaser
James Harden,Shot Creator,Wing Stopper
James Wiseman,Low Minute,Mobile Big
Jamir Watkins,Movement Shooter,Wing Stopper
Jamison Battle,Stationary Shooter,Low Activity
Ja Morant,Shot Creator,Low Activity
Jarace Walker,Movement Shooter,Helper
Jared McCain,Secondary Ball Handler,Low Activity
Jaren Jackson Jr.,Shot Creator,Helper
Jarred Vanderbilt,Stationary Shooter,Wing Stopper
Jarrett Allen,Roll + Cut Big,Mobile Big
Jase Richardson,Secondary Ball Handler,Low Activity
Javon Small,Primary Ball Handler,Chaser
Javonte Cooke,Low Minute,Low Activity
Javonte Green,Stationary Shooter,Helper
Jaxson Hayes,Roll + Cut Big,Anchor Big
Jay Huff,Stretch Big,Mobile Big
Jaylen Brown,Shot Creator,Helper
Jaylen Clark,Stationary Shooter,Point of Attack
Jaylin Williams,Stationary Shooter,Anchor Big
Jaylon Tyson,Movement Shooter,Chaser
JD Davison,Secondary Ball Handler,Point of Attack
Jeff Green,Versatile Big,Low Activity
Jerami Grant,Shot Creator,Wing Stopper
Jeremiah Fears,Primary Ball Handler,Point of Attack
Jeremiah Robinson-Earl,Movement Shooter,Helper
Jeremy Sochan,Stretch Big,Wing Stopper
Jericho Sims,Athletic Finisher,Helper
Jett Howard,Movement Shooter,Low Activity
Jevon Carter,Movement Shooter,Chaser
Jimmy Butler,Shot Creator,Wing Stopper
Joan Beringer,Roll + Cut Big,Helper
Jock Landale,Versatile Big,Mobile Big
Joe Ingles,Low Minute,Low Activity
Joel Embiid,Shot Creator,Anchor Big
John Collins,Stationary Shooter,Helper
Johni Broome,Low Minute,Helper
John Konchar,Stationary Shooter,Helper
Johnny Furphy,Stationary Shooter,Helper
Johnny Juzang,Low Minute,Low Activity
John Tonje,Low Minute,Point of Attack
Jonas Valančiūnas,Post Scorer,Anchor Big
Jonathan Isaac,Stretch Big,Helper
Jonathan Kuminga,Shot Creator,Wing Stopper
Jonathan Mogbo,Athletic Finisher,Mobile Big
Jordan Clarkson,Movement Shooter,Chaser
Jordan Goodwin,Movement Shooter,Chaser
Jordan Hawkins,Movement Shooter,Chaser
Jordan McLaughlin,Secondary Ball Handler,Point of Attack
Jordan Miller,Secondary Ball Handler,Chaser
Jordan Poole,Primary Ball Handler,Low Activity
Jordan Walsh,Stationary Shooter,Point of Attack
Jose Alvarado,Primary Ball Handler,Chaser
Josh Giddey,Primary Ball Handler,Helper
Josh Green,Stationary Shooter,Point of Attack
Josh Hart,Stationary Shooter,Wing Stopper
Josh Minott,Movement Shooter,Helper
Josh Okogie,Stationary Shooter,Wing Stopper
Jrue Holiday,Shot Creator,Chaser
Julian Champagnie,Movement Shooter,Helper
Julian Phillips,Stationary Shooter,Low Activity
Julian Strawther,Movement Shooter,Low Activity
Julius Randle,Offensive Hub,Helper
