Player,Offensive Archetype,Defensive Role
Tyler Herro,Shot Creator,Chaser
Tyler Kolek,Primary Ball Handler,Low Activity
Tyrese Martin,Secondary Ball Handler,Chaser
Tyrese Maxey,Shot Creator,Chaser
Tyrese Proctor,Secondary Ball Handler,Chaser
Tyson Etienne,Low Minute,Point of Attack
TyTy Washington Jr.,Low Minute,Chaser
Tyus Jones,Primary Ball Handler,Point of Attack
Victor Wembanyama,Shot Creator,Anchor Big
Vince Williams Jr.,Primary Ball Handler,Wing Stopper
Vít Krejčí,Movement Shooter,Chaser
VJ Edgecombe,Primary Ball Handler,Point of Attack
Vladislav Goldin,Low Minute,Helper
Walker Kessler,Athletic Finisher,Mobile Big
Walter Clayton Jr.,Primary Ball Handler,Point of Attack
Wendell Carter Jr.,Stretch Big,Mobile Big
Wendell Moore Jr.,Low Minute,Chaser
Will Richard,Movement Shooter,Point of Attack
Will Riley,Secondary Ball Handler,Low Activity
Xavier Tillman,Stretch Big,Mobile Big
Yang Hansen,Post Scorer,Helper
Yanic Konan Niederhäuser,Roll + Cut Big,Mobile Big
Yuki Kawamura,Low Minute,Point of Attack
Yves Missi,Athletic Finisher,Mobile Big
Zaccharie Risacher,Stationary Shooter,Helper
Zach Collins,Stretch Big,Mobile Big
Zach Edey,Post Scorer,Anchor Big
Zach LaVine,Shot Creator,Chaser
Zeke Nnaji,Stretch Big,Helper
Ziaire Williams,Movement Shooter,Wing Stopper
Zion Williamson,Shot Creator,Helper
