Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE
189,Jalen Suggs,24,ORL,PG,47,46,1268,0.56,23.4,0.4,1.9,2.3,0.087,0.8,2,2.7,1.5,0.527777778,0.451153224,29.40910301,29409103.01
109,Brandon Miller,23,CHO,SF,55,55,1654,0.57,28.9,1.3,2,3.4,0.098,1.4,-0.1,1.3,1.4,0.527777778,0.451050781,29.2760181,29276018.1
284,Aaron Gordon,30,DEN,PF,31,28,852,0.625,22.7,2.2,0.6,2.8,0.16,3.4,-1.2,2.2,0.9,0.616438356,0.450607723,29.14293319,29142933.19
192,Kevin Porter Jr.,25,MIL,PG,38,36,1261,0.567,24.3,1.5,1.4,2.8,0.108,0.8,1.2,2,1.3,0.408450704,0.444457006,29.00984828,29009848.28
80,Andrew Wiggins,30,MIA,SF,58,58,1785,0.58,20,1.8,2.2,4,0.108,0.8,0.7,1.4,1.5,0.527777778,0.444400725,28.87676338,28876763.38
40,Onyeka Okongwu,25,ATL,C,66,55,2045,0.592,19.9,2.4,3,5.3,0.125,0,0.8,0.8,1.4,0.555555556,0.442755968,28.74367847,28743678.47
99,Ayo Dosunmu,26,2TM,SG,63,14,1685,0.632,20.1,3.3,1.1,4.4,0.125,1.3,-0.4,0.8,1.2,,0.430162316,28.61059356,28610593.56
346,Kristaps Porziņģis,30,2TM,C,25,16,584,0.579,27.7,1.2,0.8,2,0.164,2.5,1.1,3.6,0.8,,0.42364445,28.47750865,28477508.65
141,Tre Jones,26,CHI,PG,54,30,1459,0.627,18.2,3.6,1,4.6,0.151,0.6,0.4,1,1.1,0.408450704,0.415437469,28.34442374,28344423.74
74,Nic Claxton,26,BRK,C,64,63,1807,0.588,17.6,3.2,1.5,4.7,0.124,0.4,0.6,1.1,1.4,0.236111111,0.410801179,28.21133883,28211338.83
187,Jrue Holiday,35,POR,PG,44,42,1274,0.57,23.3,1.7,1.1,2.8,0.104,2.3,-0.7,1.6,1.2,0.493150685,0.409632372,28.07825393,28078253.93
59,Pascal Siakam,31,IND,PF,57,57,1907,0.563,29.8,1.3,1.3,2.6,0.067,2.1,-1,1.1,1.5,0.222222222,0.399743736,27.94516902,27945169.02
302,Tyler Herro,26,MIA,SG,25,20,772,0.608,25.8,1.1,0.8,2,0.123,3,-0.3,2.8,0.9,0.527777778,0.398082881,27.81208411,27812084.11
176,Ryan Kalkbrenner,24,CHO,C,59,30,1290,0.752,12,3.1,1.8,4.9,0.183,0.6,1.2,1.8,1.2,0.527777778,0.388764487,27.6789992,27678999.2
220,Jaylin Williams,23,OKC,PF,57,11,1147,0.597,15.9,1.2,2.5,3.7,0.154,0,2.5,2.5,1.3,0.791666667,0.387925394,27.54591429,27545914.29
44,Cooper Flagg,19,DAL,SF,60,60,2028,0.548,26,0.9,2.2,3.1,0.074,0.6,0.4,1,1.5,0.319444444,0.380154458,27.41282939,27412829.39
17,DeMar DeRozan,36,SAC,PF,72,72,2268,0.593,22.5,4.7,0.4,5.1,0.108,0.7,-0.9,-0.3,1,0.260273973,0.378802796,27.27974448,27279744.48
152,RJ Barrett,25,TOR,SF,47,47,1410,0.593,25.4,1.8,1.6,3.4,0.116,1.5,-0.7,0.9,1,0.563380282,0.378223467,27.14665957,27146659.57
