Rank,Name,School,Pos,Year,Grade,Offensive Archetype,Defensive Role,Notes
27,Meleek Thomas,Arkansas,SG/PG,Freshman,79,Primary Ball Handler,Point of Attack,
28,Aday Mara,Michigan,C,Junior,80,Roll + Cut Big,Anchor Big,
29,Henri Veesaar,North Carolina,C,Junior,79,Shot Creator,Mobile Big,
30,Sergio de Larrea,Valencia,PG/SG,International,80,Secondary Ball Handler,Chaser,
31,Zuby Ejiofor,St. John's,PF,Senior,79,Shot Creator,Mobile Big,
32,Alex Karaban,UConn,SF/PF,Senior,76,Movement Shooter,Wing Stopper,
33,Braden Smith,Purdue,PG,Senior,77,Primary Ball Handler,Point of Attack,
34,Richie Saunders,BYU,SG,Senior,77,Shot Creator,Chaser,
35,Tarris Reed Jr.,UConn,C,Senior,77,Roll + Cut Big,Mobile Big,
36,Ryan Conwell,Louisville,SG,Senior,75,Shot Creator,Helper,
37,Jaden Bradley,Arizona,PG,Senior,74,Athletic Finisher,Chaser,
38,Bruce Thornton,Ohio State,PG,Senior,74,Shot Creator,Chaser,
39,Emanuel Sharp,Houston,SG,Senior,72,Movement Shooter,Chaser,
40,Otega Oweh,Kentucky,SG,Senior,72,Shot Creator,Helper,
41,Tamin Lipsey,Iowa State,PG,Senior,72,Shot Creator,Helper,
42,Trevon Brazile,Arkansas,PF,Senior,71,Shot Creator,Mobile Big,
43,Baba Miller,Cincinnati,SF,Senior,71,Shot Creator,Helper,
44,Keyshawn Hall,Auburn,SF,Senior,71,Shot Creator,Helper,
45,Nate Bittle,Oregon,C,Senior,71,Stretch Big,Anchor Big,
46,Milos Uzan,Houston,PG,Senior,68,Primary Ball Handler,Chaser,
47,Darrion Williams,NC State,SF,Senior,68,Shot Creator,Chaser,
48,Kylan Boswell,Illinois,PG,Senior,66,Primary Ball Handler,Chaser,
49,Tucker DeVries,Indiana,SG/SF,Senior,66,Movement Shooter,Chaser,
50,Malik Reneau,Miami,PF,Senior,67,Shot Creator,Anchor Big,
51,Mark Mitchell,Missouri,SF/PF,Senior,66,Versatile Big,Wing Stopper,
52,Michael Ajayi,Butler,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
53,Mohammad Amini,Nancy Basket (France),SG,International,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
54,Donovan Atwell,Texas Tech,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
55,Tobe Awaka,Arizona,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
56,Bassala Bagayoko,Bilbao Basket (Spain),C,International,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
57,Chad Baker-Mazara,USC,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
58,Tyler Bilodeau,UCLA,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
59,Nick Boyd,Wisconsin,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
60,Maliq Brown,Duke,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
61,Tre Carroll,Xavier,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
62,Rafael Castro,George Washington,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
63,Oscar Cluff,Purdue,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
64,Quadir Copeland,N.C. State,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
65,Melvin Council Jr.,Kansas,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
66,Josh Dix,Creighton,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
67,Tre Donaldson,Miami (FL),SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
68,Marc-Owen Fodzo Dada,Nancy Basket (France),PG,International,62,Primary Ball Handler,Point of Attack,Profile estimated; bio from official NBA prospect list.
69,Ja'Kobi Gillespie,Tennessee,PG,Senior,62,Primary Ball Handler,Point of Attack,Profile estimated; bio from official NBA prospect list.
70,Jaden Henley,Grand Canyon,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
71,Bryce Hopkins,St. John's,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
72,Graham Ike,Gonzaga,PF,Senior,62,Stretch Big,Helper,Profile estimated; bio from official NBA prospect list.
73,Vsevolod Ishchenko,Lokomotiv Kuban (Russia),SG,International,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
74,Tobias Jensen,Ratiopharm Ulm (Germany),SF,International,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
75,Trey Kaufman-Renn,Purdue,PF,Senior,62,Stretch Big,Helper,Profile estimated; bio from official NBA prospect list.
76,Jack Kayil,Alba Berlin (Germany),SG,International,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
77,Jaxon Kohler,Michigan State,PF,Senior,62,Stretch Big,Helper,Profile estimated; bio from official NBA prospect list.
78,William Kyle III,Syracuse,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
79,Tobi Lawal,Virginia Tech,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
80,Xaivian Lee,Florida,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
81,Malique Lewis,South East Melbourne (Australia),SF,International,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
82,Fletcher Loyer,Purdue,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
83,Nick Martinelli,Northwestern,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
84,Rienk Mast,Nebraska,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
85,Isaac McKneely,Louisville,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
86,Duke Miles,Vanderbilt,PG,Senior,62,Primary Ball Handler,Point of Attack,Profile estimated; bio from official NBA prospect list.
87,Malachi Moreno,Kentucky,C,Freshman,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
88,Kashie Natt,Sam Houston State,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
89,Izaiyah Nelson,South Florida,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
90,Tyler Nickel,Vanderbilt,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
91,Aaron Nkrumah,Tennessee State,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
92,Felix Okpara,Tennessee,PF,Senior,62,Stretch Big,Helper,Profile estimated; bio from official NBA prospect list.
93,Ugonna Onyenso,Virginia,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
94,Jaron Pierre Jr.,Southern Methodist,SF,Senior,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
95,Jaylin Sellers,Providence,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
96,Peter Suder,Miami (Ohio),SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
97,Seth Trimble,North Carolina,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
98,Ernest Udeh Jr.,Miami (FL),C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
99,Jalen Washington,Vanderbilt,C,Senior,62,Roll + Cut Big,Anchor Big,Profile estimated; bio from official NBA prospect list.
100,Lamar Wilkerson,Indiana,SG,Senior,62,Movement Shooter,Helper,Profile estimated; bio from official NBA prospect list.
101,Noam Yaacov,Telenet BC Oostende (Belgium),PG,International,62,Primary Ball Handler,Point of Attack,Profile estimated; bio from official NBA prospect list.
102,Reynan dos Santos,Mexico City Capitanes (G League),SF,G League,62,Movement Shooter,Wing Stopper,Profile estimated; bio from official NBA prospect list.
