Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
55,RJ Barrett,25,TOR,SF,42,42,30.0,6.9,14.0,.489,1.7,5.0,.348,5.1,9.0,.567,.551,3.3,4.7,.698,0.9,4.5,5.5,3.3,0.8,0.3,1.6,2.5,18.8,,barrerj01
56,Jerami Grant,31,POR,PF,51,32,29.7,5.8,12.8,.452,2.3,6.0,.387,3.5,6.8,.509,.542,4.9,6.0,.819,0.9,2.5,3.5,2.2,0.7,0.6,2.1,2.5,18.8,,grantje01
57,Scottie Barnes,24,TOR,PF,64,64,34.3,7.3,14.7,.499,0.9,3.0,.299,6.4,11.6,.551,.530,3.2,3.8,.837,2.0,5.8,7.8,5.3,1.4,1.5,2.7,2.8,18.7,AS,barnesc01
58,Jalen Duren,22,DET,C,56,56,27.6,7.3,11.4,.638,0.0,0.0,,7.3,11.4,.638,.638,4.1,5.7,.725,3.8,6.8,10.6,1.7,0.9,0.9,1.7,2.8,18.7,AS,durenja01
59,Bennedict Mathurin,23,2TM,SF,42,25,31.0,5.8,13.4,.432,1.6,5.0,.332,4.1,8.4,.492,.494,5.2,6.0,.870,1.0,4.6,5.6,2.3,0.8,0.2,2.2,2.8,18.5,,mathube01
59,Bennedict Mathurin,23,IND,SF,28,24,31.8,5.5,12.8,.433,2.1,5.6,.372,3.5,7.2,.480,.514,4.6,5.2,.884,0.8,4.6,5.4,2.3,0.6,0.1,2.3,2.7,17.8,,mathube01
59,Bennedict Mathurin,23,LAC,SF,14,1,29.4,6.3,14.6,.431,0.8,3.7,.212,5.5,10.9,.507,.458,6.5,7.6,.850,1.4,4.6,6.1,2.4,1.1,0.4,2.1,2.9,19.9,,mathube01
60,CJ McCollum,34,2TM,SG,61,45,29.9,6.8,15.1,.448,2.5,6.7,.368,4.3,8.3,.513,.530,2.5,3.3,.779,0.8,2.7,3.5,3.7,0.8,0.4,1.8,1.8,18.5,,mccolcj01
60,CJ McCollum,34,WAS,SG,35,35,30.9,6.9,15.1,.454,2.7,7.0,.393,4.1,8.1,.505,.544,2.3,2.9,.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8,,mccolcj01
60,CJ McCollum,34,ATL,PG,26,10,28.5,6.6,15.0,.441,2.1,6.4,.331,4.5,8.6,.522,.512,2.8,3.7,.753,1.0,2.4,3.4,3.7,0.8,0.5,2.0,1.5,18.2,,mccolcj01
