Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
473,Johnny Juzang,24,MIN,SG,21,0,88,12.2,.518,.632,.211,6.4,14.8,10.7,9.7,1.1,1.0,10.7,22.3,0.0,0.1,0.1,.037,-1.6,-1.8,-3.4,0.0,,juzanjo01
474,Tolu Smith,25,DET,PF,7,0,88,16.2,.571,.000,.857,16.6,24.9,20.8,8.7,1.1,5.7,14.7,15.9,0.1,0.2,0.3,.174,-1.4,1.7,0.3,0.1,,smithto05
475,Nate Williams,26,GSW,SG,6,0,87,13.5,.593,.353,.265,12.4,2.6,7.5,10.3,1.1,0.0,11.6,20.9,0.1,0.0,0.2,.096,-1.0,-2.2,-3.2,0.0,,willije02
476,Pacôme Dadiet,20,NYK,SG,23,0,86,12.8,.527,.652,.261,3.8,19.4,11.5,13.2,1.7,1.2,3.8,13.2,0.1,0.1,0.3,.148,-0.2,2.1,1.9,0.1,,dadiepa01
477,Thanasis Antetokounmpo,33,MIL,SF,25,0,81,18.7,.576,.105,1.053,12.6,12.3,12.5,6.8,5.5,4.9,12.6,17.4,0.1,0.2,0.3,.154,-1.4,2.7,1.4,0.1,,antetth01
478,Jayson Tatum,27,BOS,PF,3,3,81,18.9,.499,.554,.125,2.7,24.0,13.5,22.5,1.9,0.0,6.3,33.8,0.0,0.1,0.2,.100,1.3,0.0,1.3,0.1,,tatumja01
479,E.J. Liddell,25,BRK,PF,13,0,79,10.1,.576,.565,.130,4.2,26.2,14.7,5.9,0.6,3.5,17.1,16.2,0.0,0.1,0.0,.012,-2.9,-1.3,-4.2,0.0,,liddeej01
480,Kyle Lowry,39,PHI,PG,9,0,76,6.5,.478,1.000,.500,0.0,8.9,4.4,14.6,1.3,1.2,12.0,9.3,0.0,0.0,0.1,.043,-4.9,-1.1,-6.0,-0.1,,lowryky01
481,Eric Gordon,37,PHI,SG,6,0,74,14.5,.754,.667,.095,1.5,1.5,1.5,5.9,2.6,1.3,12.1,14.2,0.1,0.0,0.2,.113,2.1,0.2,2.3,0.1,,gordoer01
482,MarJon Beauchamp,25,PHI,SF,4,0,72,19.6,.648,.548,.161,3.0,17.2,10.0,15.5,2.7,2.6,13.1,22.4,0.1,0.1,0.2,.136,4.0,-0.1,3.9,0.1,,beaucma01
483,Tyson Etienne,26,BRK,PG,11,0,70,3.4,.502,.889,.074,1.6,3.5,2.5,15.3,0.0,0.0,12.5,19.8,-0.1,0.0,-0.1,-0.049,-5.7,-4.5,-10.2,-0.1,,etienty01
484,Bobi Klintman,22,DET,SF,11,0,69,3.5,.366,.500,.115,8.1,20.7,14.5,11.2,2.1,0.0,18.0,20.0,-0.2,0.1,-0.1,-0.060,-8.3,-1.1,-9.4,-0.1,,klintbo01
