,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
223,Daniel Gafford,27,DAL,C,48,38,1040,.647,2.7,1.000,.665,.308,.019,.008,.000,.647,.740,.463,.400,.500,,.634,,.346,77,,,0,0,,gaffoda01
224,Jordan Clarkson,33,NYK,SG,58,1,1036,.439,15.0,.538,.167,.243,.105,.023,.462,.528,.658,.538,.326,.400,.337,.468,.956,.016,6,.381,.338,0,0,,clarkjo01
225,Yves Missi,21,NOP,C,55,8,1036,.540,2.8,.996,.665,.289,.033,.008,.004,.542,.642,.377,.125,.000,.000,.589,,.255,50,.000,,0,0,,missiyv01
226,Joel Embiid,31,PHI,C,33,33,1029,.495,13.1,.780,.240,.150,.212,.177,.220,.545,.688,.400,.520,.509,.318,.608,.857,.027,11,.045,.333,0,0,,embiijo01
227,Kris Murray,25,POR,SF,43,15,1026,.444,11.9,.570,.374,.196,.000,.000,.430,.590,.650,.476,,,.250,.667,1.000,.136,27,.565,.250,0,0,,murrakr01
228,Craig Porter Jr.,25,CLE,PG,58,2,1024,.444,12.8,.645,.265,.214,.154,.013,.355,.490,.694,.320,.361,.667,.361,.514,.833,.043,10,.337,.429,0,0,,portecr01
229,Jalen Smith,25,CHI,C,49,17,1019,.475,15.2,.457,.331,.100,.003,.024,.543,.598,.706,.316,.000,.333,.372,.788,1.000,.079,26,.246,.392,0,0,,smithja04
230,Giannis Antetokounmpo,31,MIL,PF,35,35,1016,.628,6.1,.922,.613,.158,.064,.087,.078,.653,.805,.440,.297,.240,.333,.484,.867,.247,137,.022,1.000,0,0,AS,antetgi01
231,Simone Fontecchio,30,MIA,SF,60,5,1012,.396,18.9,.301,.153,.124,.012,.012,.699,.476,.603,.373,.000,.400,.361,.661,.971,.017,6,.281,.407,1,0,,fontesi01
232,Gui Santos,23,GSW,PF,55,19,1011,.497,14.8,.481,.270,.199,.009,.003,.519,.658,.747,.547,.333,1.000,.347,.686,1.000,.022,7,.269,.422,0,0,,santogu01
233,Caleb Love,24,POR,SG,45,1,999,.390,18.5,.402,.122,.169,.052,.060,.598,.492,.712,.366,.400,.483,.321,.417,.828,.014,3,.128,.216,0,0,,loveca01
234,Jordan Walsh,21,BOS,PF,58,20,998,.525,12.8,.557,.357,.172,.027,.000,.443,.618,.759,.395,.167,,.408,.579,1.000,.154,28,.347,.412,0,0,,walshjo01
235,Landry Shamet,28,NYK,SG,43,11,995,.451,19.8,.270,.159,.035,.044,.032,.730,.588,.760,.000,.429,.600,.400,.780,.989,.010,2,.439,.436,0,0,,shamela01
236,Christian Braun,24,DEN,SG,31,31,987,.488,12.0,.628,.345,.225,.019,.039,.372,.605,.719,.500,.600,.200,.292,.816,.893,.081,17,.385,.297,0,0,,braunch01
237,Daniss Jenkins,24,DET,PG,57,8,986,.402,14.1,.648,.154,.290,.123,.081,.352,.427,.627,.387,.319,.355,.356,.255,.875,.034,10,.215,.379,1,1,,jenkida01
238,Marvin Bagley III,26,2TM,PF,49,10,985,.610,5.2,.915,.553,.344,.015,.003,.085,.630,.727,.474,.600,1.000,.393,.618,1.000,.224,72,.143,.500,0,0,,baglema01
238,Marvin Bagley III,26,WAS,PF,38,8,731,.626,4.8,.923,.573,.337,.008,.004,.077,.643,.759,.446,.500,1.000,.421,.610,1.000,.236,58,.211,.500,0,0,,baglema01
238,Marvin Bagley III,26,DAL,PF,11,2,254,.565,5.5,.894,.494,.365,.035,.000,.106,.592,.619,.548,.667,,.333,.644,1.000,.188,14,.000,,0,0,,baglema01
239,Miles McBride,25,NYK,SG,35,14,981,.434,20.4,.329,.066,.086,.097,.080,.671,.462,.708,.355,.400,.448,.420,.418,.833,.006,1,.272,.394,0,0,,mcbrimi01
240,Jarred Vanderbilt,26,LAL,PF,55,3,978,.461,11.2,.583,.422,.155,.000,.005,.417,.575,.690,.281,,.000,.302,.667,.962,.175,32,.919,.304,0,0,,vandeja01
241,Drake Powell,20,BRK,SG,50,12,976,.420,16.4,.475,.188,.114,.137,.035,.525,.562,.688,.448,.486,.556,.291,.426,.872,.035,9,.306,.341,0,0,,poweldr01
242,Mouhamed Gueye,23,ATL,PF,63,5,973,.457,12.5,.579,.348,.154,.061,.016,.421,.580,.744,.421,.133,.250,.288,.723,1.000,.190,42,.702,.260,0,0,,gueyemo02
243,Coby White,25,2TM,SG,36,26,973,.431,15.8,.483,.262,.128,.050,.043,.517,.525,.620,.441,.435,.300,.343,.325,.805,.002,0,.109,.423,0,0,,whiteco01
243,Coby White,25,CHI,SG,29,26,843,.438,16.4,.471,.272,.104,.051,.043,.529,.541,.645,.390,.500,.294,.346,.310,.819,.003,0,.106,.500,0,0,,whiteco01
243,Coby White,25,CHO,SG,7,0,130,.391,15.1,.551,.203,.261,.043,.043,.449,.447,.429,.556,.000,.333,.323,.412,.700,.000,0,.129,.000,0,0,,whiteco01
244,Adem Bona,22,PHI,C,56,8,964,.599,2.6,.970,.760,.198,.012,.000,.030,.605,.693,.303,.000,,.400,.592,1.000,.371,53,.800,.250,0,0,,bonaad01
245,Mitchell Robinson,27,NYK,C,49,15,957,.702,1.0,1.000,.919,.075,.006,.000,.000,.702,.709,.583,1.000,,,.549,,.516,75,,,0,0,,robinmi01
246,Nolan Traoré,19,BRK,PG,43,20,955,.397,12.9,.627,.203,.322,.090,.012,.373,.433,.485,.417,.400,.250,.336,.385,.881,.000,0,.264,.424,0,0,,traorno01
247,Jaxson Hayes,25,LAL,C,54,8,954,.752,2.7,.990,.709,.272,.010,.000,.010,.750,.808,.607,.500,,1.000,.804,1.000,.505,96,.000,,0,0,,hayesja02
248,Jordan Miller,26,LAC,SF,45,0,954,.516,11.2,.712,.253,.344,.109,.007,.288,.591,.736,.520,.452,1.000,.329,.442,1.000,.035,8,.354,.276,0,0,,millejo02
249,Hugo González,19,BOS,SF,61,3,953,.475,13.8,.534,.262,.226,.032,.014,.466,.593,.759,.460,.286,.333,.340,.657,1.000,.054,10,.447,.370,0,0,,gonzahu01
250,Andre Drummond,32,PHI,C,49,24,953,.484,7.8,.740,.550,.182,.008,.000,.260,.539,.585,.404,.500,,.328,.485,1.000,.124,24,.761,.333,0,0,,drumman01
251,Gradey Dick,22,TOR,SG,63,1,949,.419,15.8,.492,.232,.119,.080,.061,.508,.540,.697,.410,.346,.450,.301,.828,1.000,.061,18,.373,.387,0,0,,dickgr01
252,Al Horford,39,GSW,C,43,12,933,.424,18.3,.367,.100,.219,.035,.013,.633,.535,.677,.456,.545,.750,.360,.705,.986,.013,4,.213,.381,0,0,,horfoal01
253,GG Jackson II,21,MEM,PF,45,18,926,.497,12.2,.617,.320,.237,.057,.003,.383,.599,.699,.516,.364,1.000,.333,.606,.939,.125,43,.361,.434,0,0,,jacksgg01
254,Derrick Jones Jr.,28,LAC,SF,34,29,920,.520,12.8,.572,.295,.240,.026,.011,.428,.632,.788,.477,.429,.333,.371,.735,1.000,.111,30,.457,.340,0,0,,jonesde02
255,Darius Garland,26,2TM,PG,31,29,919,.454,17.0,.548,.155,.207,.121,.065,.452,.516,.609,.489,.500,.414,.378,.349,.592,.000,0,.129,.385,0,0,,garlada01
255,Darius Garland,26,CLE,PG,26,26,792,.451,15.9,.565,.162,.207,.135,.061,.435,.521,.607,.500,.490,.435,.360,.378,.610,.000,0,.128,.333,0,0,,garlada01
255,Darius Garland,26,LAC,PG,5,3,127,.471,18.2,.456,.118,.206,.044,.088,.544,.484,.625,.429,.667,.333,.459,.133,.529,.000,0,.135,.600,0,0,,garlada01
256,Tyus Jones,29,3TM,PG,60,10,915,.345,19.4,.370,.055,.185,.095,.035,.630,.459,.455,.432,.526,.429,.278,.588,.800,.000,0,.206,.346,0,0,,jonesty01
256,Tyus Jones,29,ORL,PG,48,8,754,.342,19.2,.354,.057,.190,.089,.019,.646,.429,.444,.400,.500,.333,.294,.542,.833,.000,0,.225,.348,0,0,,jonesty01
256,Tyus Jones,29,DAL,PG,8,2,133,.382,18.9,.441,.059,.147,.118,.118,.559,.600,.500,.600,.750,.500,.211,.667,.750,.000,0,.158,.333,0,0,,jonesty01
256,Tyus Jones,29,DEN,PG,4,0,28,.250,20.1,.375,.000,.250,.125,.000,.625,.333,,.500,.000,,.200,1.000,.000,.000,0,.000,,0,0,,jonesty01
257,Isaiah Hartenstein,27,OKC,C,36,35,914,.637,4.9,.976,.514,.318,.143,.000,.024,.653,.770,.538,.486,,.000,.795,,.298,65,.333,.000,0,0,,harteis01
258,Corey Kispert,26,2TM,SF,45,9,902,.466,17.2,.403,.219,.150,.034,.000,.597,.612,.743,.417,.636,,.366,.734,.971,.025,7,.199,.368,0,0,,kispeco01
258,Corey Kispert,26,WAS,SF,19,2,370,.496,18.0,.361,.193,.151,.017,.000,.639,.674,.783,.500,1.000,,.395,.759,.967,.025,3,.211,.375,0,0,,kispeco01
258,Corey Kispert,26,ATL,SF,26,7,532,.448,16.3,.428,.234,.149,.045,.000,.572,.581,.723,.367,.556,,.348,.720,.975,.025,4,.191,.364,0,0,,kispeco01
259,Jared McCain,21,2TM,SG,52,1,900,.412,17.3,.471,.159,.156,.106,.050,.529,.432,.526,.304,.553,.278,.395,.397,.853,.000,0,.226,.326,0,0,,mccaija01
259,Jared McCain,21,PHI,SG,37,1,620,.385,16.7,.485,.182,.156,.091,.056,.515,.393,.548,.278,.381,.231,.378,.341,.844,.000,0,.252,.367,0,0,,mccaija01
259,Jared McCain,21,OKC,SG,15,0,280,.461,17.8,.445,.117,.156,.133,.039,.555,.509,.467,.350,.765,.400,.423,.483,.867,.000,0,.183,.231,0,0,,mccaija01
260,Caris LeVert,31,DET,SG,46,0,892,.410,15.8,.522,.166,.224,.102,.031,.478,.494,.694,.455,.367,.111,.319,.487,.822,.034,10,.206,.345,0,0,,leverca01
261,Franz Wagner,24,ORL,SF,28,26,891,.479,11.2,.731,.252,.355,.082,.042,.269,.521,.694,.441,.400,.389,.365,.479,.762,.030,11,.157,.444,0,0,,wagnefr01
262,Jericho Sims,27,MIL,C,50,9,883,.845,2.0,1.000,.873,.082,.045,.000,.000,.845,.885,.667,.400,,,.839,,.609,62,,,0,0,,simsje01
263,Bryce McGowens,23,NOP,SG,42,13,880,.481,12.6,.608,.266,.257,.072,.013,.392,.528,.635,.426,.471,.667,.409,.605,.921,.097,17,.441,.415,0,0,,mcgowbr01
264,Luka Garza,27,BOS,C,56,4,879,.562,12.1,.632,.353,.213,.050,.016,.368,.644,.681,.618,.538,.500,.421,.590,.975,.019,5,.158,.267,0,0,,garzalu01
265,Pat Spencer,29,GSW,PG,50,12,861,.424,14.4,.623,.135,.290,.172,.027,.377,.459,.700,.407,.373,.375,.366,.341,.805,.007,2,.188,.333,0,0,,spencpa01
266,Bones Hyland,25,MIN,PG,58,3,858,.462,18.3,.373,.193,.089,.055,.037,.627,.582,.730,.345,.556,.417,.390,.296,.813,.000,0,.117,.375,0,0,,hylanbo01
267,Taylor Hendricks,22,2TM,PF,48,10,857,.469,14.3,.496,.229,.229,.031,.008,.504,.578,.695,.475,.500,.500,.362,.716,.979,.089,21,.515,.418,0,0,,hendrta01
267,Taylor Hendricks,22,UTA,PF,33,6,492,.453,14.9,.453,.211,.211,.031,.000,.547,.586,.704,.444,.750,,.343,.853,1.000,.094,12,.586,.390,0,0,,hendrta01
267,Taylor Hendricks,22,MEM,PF,15,4,365,.485,13.7,.538,.246,.246,.031,.015,.462,.571,.688,.500,.250,.500,.383,.600,.957,.085,9,.433,.462,0,0,,hendrta01
268,Caleb Martin,30,DAL,SF,57,12,849,.449,12.1,.701,.316,.182,.080,.123,.299,.496,.729,.353,.200,.304,.339,.554,1.000,.059,9,.661,.378,0,0,,martica02
269,Cam Thomas,24,2TM,SG,39,8,839,.412,15.4,.631,.129,.195,.192,.115,.369,.470,.632,.372,.494,.412,.313,.336,.569,.005,2,.135,.318,1,0,,thomaca02
269,Cam Thomas,24,BRK,SG,24,8,582,.399,16.0,.620,.097,.221,.185,.117,.380,.445,.567,.353,.526,.389,.325,.365,.605,.003,1,.094,.364,1,0,,thomaca02
269,Cam Thomas,24,MIL,SG,15,0,257,.440,14.9,.657,.201,.134,.209,.112,.343,.523,.704,.444,.429,.467,.283,.283,.462,.007,1,.239,.273,0,0,,thomaca02
270,Rayan Rupert,21,2TM,SG,57,2,839,.395,14.3,.535,.189,.259,.070,.018,.465,.443,.581,.356,.438,.250,.340,.500,.972,.035,6,.462,.306,0,0,,ruperra01
270,Rayan Rupert,21,POR,SG,48,0,577,.361,14.7,.517,.204,.224,.075,.014,.483,.408,.567,.273,.455,.000,.310,.452,.955,.027,3,.408,.241,0,0,,ruperra01
270,Rayan Rupert,21,MEM,SG,9,2,262,.457,13.9,.568,.160,.321,.062,.025,.432,.500,.615,.462,.400,.500,.400,.565,1.000,.049,3,.571,.400,0,0,,ruperra01
271,Gary Payton II,33,GSW,SG,59,1,835,.536,10.4,.652,.427,.215,.010,.000,.348,.665,.767,.477,.333,,.295,.802,.935,.106,30,.467,.347,0,0,,paytoga02
272,Mike Conley,38,MIN,PG,46,9,831,.316,20.7,.243,.068,.107,.045,.023,.757,.326,.500,.211,.375,.250,.313,.786,.952,.000,0,.284,.368,0,0,,conlemi01
273,Ryan Nembhard,22,DAL,PG,46,18,831,.424,17.1,.638,.065,.167,.214,.192,.362,.449,.778,.391,.373,.472,.380,.266,.737,.000,0,.100,.200,0,0,,nembhry01
274,Nae'Qwan Tomlin,25,CLE,PF,52,2,825,.468,10.3,.638,.498,.128,.011,.000,.362,.615,.689,.382,.000,,.208,.673,.950,.223,49,.625,.200,0,0,,tomlina01
275,Paul George,35,PHI,PF,27,27,824,.424,17.8,.511,.127,.102,.153,.130,.489,.464,.600,.389,.352,.522,.382,.369,.803,.011,3,.225,.462,0,0,,georgpa01
276,Vince Williams Jr.,25,2TM,PG,40,12,820,.353,18.4,.394,.110,.164,.099,.021,.606,.417,.469,.375,.483,.167,.311,.375,.873,.014,3,.186,.364,0,0,,willivi01
276,Vince Williams Jr.,25,MEM,PG,34,12,736,.352,18.1,.398,.114,.163,.098,.023,.602,.419,.467,.395,.462,.167,.308,.341,.918,.011,2,.170,.370,0,0,,willivi01
276,Vince Williams Jr.,25,UTA,SG,6,0,84,.357,18.6,.357,.071,.179,.107,.000,.643,.400,.500,.200,.667,,.333,.750,.500,.036,1,.333,.333,0,0,,willivi01
277,Alex Caruso,31,OKC,SG,44,0,817,.419,16.4,.399,.226,.141,.024,.008,.601,.596,.696,.457,.500,.500,.302,.661,.978,.028,6,.416,.226,0,0,,carusal01
278,Ochai Agbaji,25,2TM,SG,53,13,816,.448,13.6,.578,.386,.161,.022,.009,.422,.581,.686,.306,.800,.500,.266,.800,.920,.112,20,.457,.233,0,0,,agbajoc01
278,Ochai Agbaji,25,TOR,SG,42,13,650,.424,11.1,.618,.441,.159,.012,.006,.382,.571,.667,.296,1.000,.000,.185,.783,1.000,.141,19,.523,.206,0,0,,agbajoc01
278,Ochai Agbaji,25,BRK,SG,11,0,166,.528,16.2,.453,.208,.170,.057,.019,.547,.625,.818,.333,.667,1.000,.448,.867,.846,.019,1,.310,.333,0,0,,agbajoc01
279,T.J. McConnell,33,IND,PG,48,1,812,.531,11.6,.893,.143,.278,.324,.148,.107,.557,.732,.514,.543,.500,.310,.292,.923,.000,0,.119,.600,0,0,,mccontj01
280,De'Anthony Melton,27,GSW,PG,36,12,812,.413,14.9,.537,.152,.308,.042,.035,.463,.509,.705,.435,.471,.357,.301,.436,.875,.010,4,.242,.378,0,0,,meltode01
281,Jordan Poole,26,NOP,PG,33,6,808,.374,19.1,.353,.152,.139,.037,.026,.647,.437,.534,.396,.286,.300,.340,.390,.714,.003,1,.097,.500,0,0,,poolejo01
282,Keegan Murray,25,SAC,PF,23,22,793,.420,15.9,.627,.083,.240,.223,.080,.373,.505,.720,.583,.403,.333,.277,.537,.935,.037,11,.161,.222,0,0,,murrake02
283,Nikola Jović,22,MIA,PF,45,1,791,.370,15.7,.469,.197,.226,.026,.020,.531,.483,.633,.420,.250,.000,.272,.681,.932,.010,2,.253,.146,0,0,,jovicni01
284,Jakob Poeltl,30,TOR,C,31,29,788,.693,3.8,1.000,.603,.270,.127,.000,.000,.693,.798,.529,.542,,,.786,,.063,12,,,0,0,,poeltja01
285,Robert Williams,28,POR,C,46,1,775,.731,4.8,.896,.622,.233,.036,.005,.104,.775,.842,.644,.429,1.000,.350,.694,1.000,.560,93,.850,.353,0,0,,williro04
286,Buddy Hield,33,2TM,SG,45,3,773,.432,22.3,.349,.163,.113,.037,.037,.651,.600,.735,.588,.545,.091,.342,.587,.925,.003,1,.219,.395,0,0,,hieldbu01
286,Buddy Hield,33,GSW,SG,44,3,768,.433,18.8,.350,.163,.113,.037,.037,.650,.600,.735,.588,.545,.091,.344,.587,.925,.003,1,.221,.395,0,0,,hieldbu01
286,Buddy Hield,33,ATL,SG,1,0,5,.000,25.8,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,0,0,,hieldbu01
287,Tyrese Martin,26,2TM,SG,43,6,766,.393,17.7,.404,.167,.175,.044,.018,.596,.495,.717,.313,.500,.200,.323,.491,.887,.022,6,.201,.242,0,0,,martity01
287,Tyrese Martin,26,BRK,SG,37,6,696,.392,17.7,.404,.161,.184,.043,.016,.596,.476,.707,.298,.455,.250,.336,.469,.882,.024,6,.197,.233,0,0,,martity01
287,Tyrese Martin,26,PHI,SG,6,0,70,.400,17.7,.400,.250,.050,.050,.050,.600,.750,.800,1.000,1.000,.000,.167,.667,1.000,.000,0,.250,.333,0,0,,martity01
288,Karlo Matković,24,NOP,PF,54,2,760,.628,10.7,.622,.447,.165,.011,.000,.378,.726,.881,.355,.000,,.465,.729,.970,.319,55,.479,.588,0,0,,matkoka01
289,Isaiah Jackson,24,2TM,C,47,14,760,.604,3.2,.995,.584,.371,.025,.015,.005,.607,.696,.521,.200,.000,.000,.605,,.137,23,.000,,0,0,,jacksis01
289,Isaiah Jackson,24,IND,C,38,14,638,.582,3.3,.994,.606,.345,.024,.018,.006,.585,.670,.491,.250,.000,.000,.615,,.152,21,.000,,0,0,,jacksis01
289,Isaiah Jackson,24,LAC,C,9,0,122,.719,3.1,1.000,.469,.500,.031,.000,.000,.719,.867,.625,.000,,,.565,,.063,2,,,0,0,,jacksis01
290,Jalen Williams,24,OKC,SG,26,26,755,.479,10.4,.825,.268,.266,.230,.060,.175,.515,.704,.443,.429,.318,.313,.323,.750,.066,22,.156,.300,0,0,,willija06
291,Clint Capela,31,HOU,C,60,1,747,.508,2.8,1.000,.642,.342,.011,.005,.000,.508,.600,.359,.000,.000,,.642,,.251,39,,,0,0,,capelca01
292,John Konchar,29,2TM,SG,43,5,747,.444,15.9,.419,.256,.128,.026,.009,.581,.714,.733,.800,.333,.000,.250,.657,1.000,.026,3,.441,.267,0,0,,konchjo01
292,John Konchar,29,MEM,SG,30,1,435,.521,14.9,.451,.324,.085,.028,.014,.549,.750,.783,.833,.500,.000,.333,.750,1.000,.014,1,.564,.273,0,0,,konchjo01
292,John Konchar,29,UTA,SG,13,4,312,.326,16.9,.370,.152,.196,.022,.000,.630,.647,.571,.778,.000,,.138,.455,1.000,.043,2,.276,.250,0,0,,konchjo01
293,Guerschon Yabusele,30,2TM,C,56,12,747,.400,17.3,.374,.187,.135,.039,.013,.626,.465,.628,.290,.222,.667,.361,.675,.981,.026,3,.368,.415,0,0,,yabusgu01
293,Guerschon Yabusele,30,NYK,C,41,0,366,.393,17.0,.364,.243,.084,.028,.009,.636,.564,.654,.333,.333,1.000,.294,.727,.950,.028,1,.412,.393,0,0,,yabusgu01
293,Guerschon Yabusele,30,CHI,C,15,12,381,.407,17.6,.382,.138,.179,.049,.016,.618,.383,.588,.273,.167,.500,.421,.611,1.000,.024,2,.329,.440,0,0,,yabusgu01
294,Jonas Valančiūnas,33,DEN,C,55,5,745,.579,7.2,.941,.321,.402,.178,.040,.059,.596,.660,.612,.526,.231,.316,.578,.833,.069,17,.053,1.000,0,0,,valanjo01
295,Jaylen Clark,24,MIN,SG,58,0,737,.437,12.7,.579,.295,.213,.071,.000,.421,.528,.648,.487,.154,,.312,.518,1.000,.038,7,.649,.320,1,0,,clarkja02
296,Goga Bitadze,26,ORL,C,48,2,731,.689,3.8,.934,.713,.180,.036,.006,.066,.724,.782,.600,.333,.000,.182,.699,1.000,.335,51,.364,.250,0,0,,bitadgo01
297,Steven Adams,32,HOU,C,32,11,730,.504,2.6,1.000,.655,.309,.036,.000,.000,.504,.582,.349,.400,,,.514,,.129,13,,,0,0,,adamsst01
298,Jalen Pickett,26,DEN,SG,43,18,728,.422,18.4,.446,.108,.147,.093,.098,.554,.473,.682,.433,.421,.350,.381,.535,.814,.005,1,.221,.320,0,0,,pickeja02
299,Lonzo Ball,28,CLE,PG,35,3,728,.301,22.5,.165,.097,.023,.023,.023,.835,.448,.588,.250,.500,.000,.272,.538,.850,.011,1,.197,.241,0,0,,balllo01
300,Olivier-Maxence Prosper,23,MEM,PF,42,13,725,.531,12.7,.577,.331,.205,.033,.008,.423,.630,.785,.510,.000,.000,.396,.759,1.000,.092,21,.396,.425,0,0,,prospol01
301,Kasparas Jakučionis,19,MIA,PG,40,11,715,.426,17.7,.350,.175,.148,.022,.005,.650,.406,.563,.296,.000,.000,.437,.423,.981,.000,0,.361,.558,0,0,,jakucka01
302,Josh Green,25,CHO,SG,43,0,714,.473,19.1,.257,.149,.088,.020,.000,.743,.605,.682,.538,.333,,.427,.739,1.000,.041,6,.600,.470,0,0,,greenjo02
303,Aaron Gordon,30,DEN,PF,26,23,714,.492,13.7,.616,.286,.152,.098,.081,.384,.557,.765,.400,.379,.333,.386,.598,.818,.108,30,.167,.368,0,0,,gordoaa01
304,Justin Edwards,22,PHI,SF,49,6,713,.420,18.2,.391,.145,.150,.072,.024,.609,.519,.700,.419,.333,.600,.357,.476,.956,.039,7,.190,.458,0,0,,edwarju01
305,Trendon Watford,25,PHI,PF,43,7,711,.514,8.8,.816,.302,.425,.075,.014,.184,.572,.656,.556,.375,.333,.256,.545,1.000,.019,3,.205,.125,0,0,,watfotr01
306,Kenrich Williams,31,OKC,PF,45,2,710,.489,15.1,.545,.255,.147,.065,.078,.455,.556,.695,.353,.600,.444,.410,.529,.907,.013,2,.238,.440,0,0,,willike04
307,Micah Peavy,24,NOP,SG,51,1,704,.378,12.7,.600,.311,.200,.076,.013,.400,.474,.629,.311,.235,.667,.233,.641,1.000,.080,16,.467,.190,0,0,,peavymi01
308,Jabari Walker,23,PHI,PF,56,6,701,.449,12.7,.546,.393,.122,.015,.015,.454,.542,.649,.292,.000,.333,.337,.500,1.000,.071,10,.506,.400,0,0,,walkeja01
309,Dwight Powell,34,DAL,C,50,8,696,.663,3.1,.963,.725,.225,.000,.013,.038,.675,.690,.611,,1.000,.333,.808,1.000,.150,10,1.000,.333,0,0,,poweldw01
310,Gabe Vincent,29,2TM,PG,38,7,677,.353,22.3,.198,.042,.060,.066,.030,.802,.364,.714,.200,.273,.400,.351,.333,.872,.000,0,.246,.394,0,0,,vincega01
310,Gabe Vincent,29,LAL,PG,29,7,559,.346,22.5,.208,.023,.077,.077,.031,.792,.259,.667,.200,.200,.250,.369,.429,.895,.000,0,.272,.429,0,0,,vincega01
310,Gabe Vincent,29,ATL,PG,9,0,118,.378,22.2,.162,.108,.000,.027,.027,.838,.833,.750,,1.000,1.000,.290,.200,.778,.000,0,.161,.200,0,0,,vincega01
311,Julian Strawther,23,DEN,SG,44,12,672,.464,15.3,.519,.159,.251,.105,.004,.481,.573,.658,.533,.560,.000,.348,.648,.950,.004,1,.322,.459,0,0,,strawju01
312,Jaden Ivey,23,2TM,SG,37,5,670,.445,17.6,.477,.145,.191,.090,.051,.523,.525,.541,.510,.478,.615,.373,.578,.880,.020,5,.164,.409,0,0,,iveyja01
312,Jaden Ivey,23,DET,SG,33,2,555,.450,16.9,.486,.141,.205,.095,.045,.514,.533,.581,.489,.476,.700,.372,.579,.881,.023,5,.177,.400,0,0,,iveyja01
312,Jaden Ivey,23,CHI,SG,4,3,115,.417,18.3,.417,.167,.111,.056,.083,.583,.467,.333,.750,.500,.333,.381,.571,.875,.000,0,.095,.500,0,0,,iveyja01
313,Tyler Kolek,24,NYK,PG,55,1,662,.424,15.4,.546,.183,.214,.131,.017,.454,.480,.667,.367,.400,.500,.356,.350,.757,.000,0,.144,.467,0,0,,kolekty01
314,Micah Potter,27,IND,C,34,3,647,.495,16.3,.412,.225,.162,.005,.020,.588,.631,.739,.515,1.000,.250,.400,.736,1.000,.098,16,.442,.377,0,0,,pottemi01
315,Johnny Furphy,21,IND,SG,35,21,643,.470,13.6,.523,.302,.208,.000,.013,.477,.603,.711,.484,,.000,.324,.766,.957,.128,19,.408,.345,0,0,,furphjo01
316,Paul Reed,26,DET,C,49,8,634,.598,7.2,.869,.389,.376,.074,.031,.131,.633,.798,.523,.471,.286,.367,.714,.909,.135,30,.267,.375,0,0,,reedpa01
317,Noah Penda,21,ORL,SF,46,2,632,.423,13.2,.571,.263,.263,.023,.023,.429,.480,.652,.304,.250,.750,.347,.438,.923,.069,12,.413,.290,0,0,,pendano01
318,Kobe Brown,26,2TM,PF,48,3,631,.421,14.2,.506,.298,.180,.022,.006,.494,.522,.660,.375,.000,.000,.318,.511,.929,.079,14,.341,.367,0,0,,brownko01
318,Kobe Brown,26,LAC,PF,34,0,295,.393,16.4,.417,.214,.179,.012,.012,.583,.571,.667,.533,.000,.000,.265,.500,.923,.119,10,.327,.250,0,0,,brownko01
318,Kobe Brown,26,IND,PF,14,3,336,.447,12.1,.585,.372,.181,.032,.000,.415,.491,.657,.235,.000,,.385,.519,.933,.043,4,.359,.500,0,0,,brownko01
319,Ousmane Dieng,22,2TM,C,42,7,630,.418,18.5,.448,.090,.119,.149,.090,.552,.467,.556,.250,.533,.556,.378,.452,.786,.040,8,.171,.421,0,0,,diengou01
319,Ousmane Dieng,22,OKC,C,27,0,295,.418,18.0,.462,.110,.143,.121,.088,.538,.476,.600,.308,.545,.500,.367,.500,.667,.044,4,.184,.333,0,0,,diengou01
319,Ousmane Dieng,22,MIL,C,15,7,335,.418,19.1,.436,.073,.100,.173,.091,.564,.458,.500,.182,.526,.600,.387,.409,.875,.036,4,.161,.500,0,0,,diengou01
320,Rob Dillingham,21,2TM,PG,50,0,627,.353,12.4,.733,.220,.310,.090,.114,.267,.369,.536,.266,.391,.310,.309,.333,.762,.012,2,.176,.417,0,0,,dilliro01
320,Rob Dillingham,21,MIN,PG,35,0,326,.333,12.2,.766,.227,.270,.128,.142,.234,.324,.500,.184,.500,.150,.364,.400,.750,.014,2,.212,.571,0,0,,dilliro01
320,Rob Dillingham,21,CHI,PG,15,0,301,.377,12.5,.693,.211,.360,.044,.079,.307,.430,.583,.341,.000,.667,.257,.265,.778,.009,0,.143,.200,0,0,,dilliro01
321,Anthony Davis,32,DAL,PF,20,20,626,.506,9.2,.889,.332,.278,.156,.123,.111,.535,.730,.462,.365,.390,.270,.560,.900,.141,42,.135,.400,0,0,,davisan02
322,Josh Minott,23,2TM,PF,40,10,626,.503,17.1,.413,.222,.162,.024,.006,.587,.623,.838,.407,.250,.000,.418,.651,.951,.138,19,.286,.393,0,0,,minotjo01
