,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
44,Cooper Flagg,19,DAL,SF,55,55,1850,.469,11.5,.789,.217,.317,.147,.109,.211,.515,.759,.449,.447,.316,.295,.391,.732,.068,52,.137,.192,0,0,,flaggco01
45,Brandin Podziemski,22,GSW,SG,66,27,1848,.448,16.5,.528,.155,.167,.133,.074,.472,.517,.695,.558,.378,.300,.372,.541,.782,.010,6,.141,.533,0,0,,podzibr01
46,Shai Gilgeous-Alexander,27,OKC,PG,55,55,1848,.554,12.8,.771,.220,.172,.277,.102,.229,.605,.756,.500,.593,.486,.383,.180,.274,.014,15,.048,.333,0,0,AS,gilgesh01
47,Pascal Siakam,31,IND,PF,55,55,1844,.484,12.4,.740,.195,.288,.179,.077,.260,.527,.709,.544,.393,.316,.362,.472,.865,.010,7,.151,.450,0,0,AS,siakapa01
48,Anthony Black,22,ORL,PG,60,40,1841,.451,13.2,.615,.261,.236,.072,.046,.385,.521,.724,.397,.377,.235,.339,.602,.823,.105,66,.272,.455,1,1,,blackan01
49,Wendell Carter Jr.,26,ORL,C,62,62,1833,.506,12.8,.630,.319,.158,.101,.053,.370,.611,.793,.395,.462,.444,.326,.732,1.000,.163,75,.363,.304,0,0,,cartewe01
50,Julian Champagnie,24,SAS,SF,66,52,1830,.434,20.0,.237,.141,.071,.024,.002,.763,.585,.753,.359,.308,.000,.388,.697,.975,.036,20,.361,.384,0,0,,champju02
51,Max Christie,22,DAL,SG,62,53,1827,.449,17.7,.401,.140,.150,.063,.049,.599,.516,.718,.396,.447,.400,.404,.548,.918,.039,21,.365,.451,0,0,,chrisma02
52,CJ McCollum,34,2TM,SG,61,45,1822,.448,16.4,.554,.129,.187,.150,.087,.446,.513,.639,.483,.493,.425,.368,.337,.656,.003,2,.144,.339,0,0,,mccolcj01
52,CJ McCollum,34,WAS,SG,35,35,1082,.454,17.0,.539,.108,.187,.159,.085,.461,.505,.632,.455,.524,.422,.393,.326,.667,.004,1,.135,.424,0,0,,mccolcj01
52,CJ McCollum,34,ATL,PG,26,10,740,.441,15.7,.574,.159,.187,.138,.090,.426,.522,.645,.521,.444,.429,.331,.350,.636,.003,1,.157,.231,0,0,,mccolcj01
53,Kris Dunn,31,LAC,PG,66,60,1819,.489,14.1,.559,.190,.276,.083,.010,.441,.583,.763,.491,.515,.250,.369,.462,1.000,.040,14,.403,.437,0,0,,dunnkr01
54,De'Aaron Fox,28,SAS,PG,57,57,1798,.492,14.6,.618,.195,.206,.146,.070,.382,.582,.726,.549,.455,.542,.346,.295,.676,.011,8,.218,.486,0,0,AS,foxde01
55,Bub Carrington,20,WAS,PG,65,33,1794,.404,20.2,.420,.055,.113,.113,.140,.580,.426,.613,.238,.444,.487,.389,.320,.690,.013,5,.142,.370,0,0,,carrica01
56,OG Anunoby,28,NYK,PF,54,54,1793,.483,13.9,.525,.330,.110,.062,.023,.475,.582,.720,.384,.317,.267,.373,.663,.983,.180,108,.490,.429,0,0,,anunoog01
57,Tim Hardaway Jr.,33,DEN,SG,66,5,1792,.457,20.7,.307,.076,.091,.074,.066,.693,.563,.714,.441,.542,.581,.410,.786,.908,.026,15,.196,.420,0,0,,hardati02
58,Quentin Grimes,25,PHI,SG,60,13,1788,.445,16.3,.443,.268,.111,.026,.038,.557,.586,.729,.453,.267,.182,.332,.580,.879,.052,26,.224,.389,1,1,,grimequ01
59,Keyonte George,22,UTA,PG,54,54,1786,.456,15.6,.590,.101,.276,.117,.096,.410,.515,.753,.502,.417,.424,.371,.515,.724,.033,26,.122,.409,0,0,,georgke01
60,A.J. Green,26,MIL,SG,61,58,1783,.416,24.1,.099,.024,.019,.032,.024,.901,.500,.545,.444,.600,.364,.407,.739,.918,.000,0,.281,.517,0,0,,greenaj01
61,Jaime Jaquez Jr.,24,MIA,SF,62,1,1780,.498,9.0,.823,.293,.411,.095,.024,.177,.545,.712,.436,.507,.500,.280,.433,.973,.031,20,.333,.364,0,0,,jaqueja01
62,Duncan Robinson,31,DET,SF,64,64,1770,.445,21.0,.221,.074,.118,.022,.007,.779,.597,.744,.522,.538,.500,.402,.727,.978,.005,3,.270,.398,0,0,,robindu01
63,Nikola Jokić,30,DEN,C,51,51,1768,.573,11.8,.728,.208,.370,.105,.046,.272,.642,.770,.602,.596,.488,.389,.545,.789,.019,15,.061,.467,0,0,AS,jokicni01
64,Russell Westbrook,37,SAC,SF,61,55,1765,.431,15.5,.552,.136,.245,.101,.069,.448,.502,.691,.490,.415,.304,.343,.232,.831,.011,8,.271,.357,0,0,,westbru01
65,Andrew Wiggins,30,MIA,SF,57,57,1765,.474,14.0,.607,.232,.208,.103,.065,.393,.523,.683,.453,.365,.426,.399,.454,.929,.037,25,.240,.456,0,0,,wiggian01
66,Cason Wallace,22,OKC,SG,64,54,1750,.426,14.5,.509,.265,.180,.044,.020,.491,.510,.672,.330,.318,.400,.339,.504,.952,.063,27,.319,.354,0,0,,wallaca01
67,Nikola Vučević,35,2TM,C,60,49,1740,.496,12.8,.669,.203,.327,.103,.036,.331,.557,.699,.504,.519,.357,.373,.770,.979,.018,12,.098,.280,0,0,,vucevni01
67,Nikola Vučević,35,CHI,C,48,48,1480,.505,12.9,.670,.206,.321,.105,.038,.330,.568,.699,.519,.522,.400,.376,.769,.976,.020,11,.087,.211,0,0,,vucevni01
67,Nikola Vučević,35,BOS,C,12,1,260,.445,12.7,.664,.182,.364,.091,.027,.336,.493,.700,.425,.500,.000,.351,.778,1.000,.009,1,.162,.500,0,0,,vucevni01
68,Naz Reid,26,MIN,C,66,2,1724,.470,16.1,.473,.136,.252,.081,.004,.527,.575,.743,.556,.367,.333,.376,.574,.939,.030,18,.322,.413,1,0,,reidna01
69,Nic Claxton,26,BRK,C,60,59,1721,.576,4.5,.969,.496,.400,.055,.018,.031,.589,.713,.488,.214,.556,.188,.616,1.000,.240,110,.063,.000,0,0,,claxtni01
70,Reed Sheppard,21,HOU,SG,66,10,1711,.428,19.6,.408,.074,.126,.136,.072,.592,.484,.643,.469,.427,.455,.390,.360,.743,.017,12,.151,.544,0,0,,sheppre01
71,Jaylen Wells,22,MEM,SG,64,64,1708,.431,16.9,.481,.157,.141,.095,.088,.519,.513,.606,.473,.524,.397,.356,.650,.959,.036,19,.329,.345,0,0,,wellsja01
72,Jeremiah Fears,19,NOP,PG,68,44,1707,.425,11.8,.709,.317,.232,.109,.051,.291,.462,.612,.344,.360,.275,.336,.380,.688,.018,13,.109,.520,0,0,,fearsje01
73,Devin Booker,29,PHO,SG,51,51,1703,.452,15.4,.688,.120,.181,.244,.143,.312,.508,.673,.459,.480,.478,.328,.326,.656,.015,11,.082,.333,1,0,AS,bookede01
74,Deni Avdija,25,POR,SF,51,51,1699,.465,13.0,.621,.274,.247,.073,.027,.379,.543,.679,.416,.517,.409,.335,.373,.798,.023,19,.110,.382,0,0,AS,avdijde01
75,Donovan Clingan,21,POR,C,62,62,1697,.524,11.1,.638,.442,.178,.006,.011,.362,.633,.685,.510,.333,.667,.333,.562,.923,.191,93,.087,.176,0,0,,clingdo01
