Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,VALUE,AAV,ACE
11,Zion Williamson,25,NOP,PF,56,49,1669,0.643,26.2,4.7,1,5.7,0.165,3.7,-0.5,3.1,2.2,0.965163646,37.43089431,37430894.31
185,Trey Murphy III,25,NOP,SF,64,64,2272,0.614,22.9,4.5,1.6,6.1,0.13,3.1,-0.6,2.5,2.6,0.964405086,37.02439024,37024390.24
124,Mikal Bridges,29,NYK,SF,73,73,2437,0.582,17.4,4.3,3.2,7.4,0.146,1.4,1.5,2.9,3,0.963313729,36.61788618,36617886.18
90,Donovan Clingan,21,POR,C,68,68,1855,0.606,17,4.7,2.9,7.5,0.195,2.6,0.4,3,2.4,0.921725191,36.21138211,36211382.11
229,Collin Gillespie,26,PHO,PG,72,53,2080,0.592,18.9,3.8,2.2,6,0.139,2.5,0.6,3.1,2.7,0.897661728,35.80487805,35804878.05
47,Evan Mobley,24,CLE,PF,57,55,1848,0.593,22.4,3.1,2.7,5.8,0.15,1.8,1.3,3.1,2.4,0.875457593,35.39837398,35398373.98
174,Payton Pritchard,28,BOS,PG,69,49,2243,0.572,21.2,5,2.2,7.2,0.153,2.1,-0.3,1.8,2.1,0.830399015,34.99186992,34991869.92
179,Immanuel Quickley,26,TOR,PG,67,67,2174,0.579,21.2,3.9,2.4,6.3,0.139,1.9,0.4,2.3,2.3,0.818020885,34.58536585,34585365.85
57,Julius Randle,31,MIN,PF,72,72,2375,0.587,26.4,4.3,2.8,7.1,0.143,1.5,0,1.5,2.1,0.817175964,34.17886179,34178861.79
99,De'Aaron Fox,28,SAS,PG,63,63,1971,0.581,25,3.2,2.6,5.7,0.14,1.8,0.5,2.3,2.2,0.790746053,33.77235772,33772357.72
53,LeBron James,41,LAL,SF,51,51,1708,0.592,27,2.7,1.6,4.3,0.121,3,0,3.1,2.2,0.78100685,33.36585366,33365853.66
83,Desmond Bane,27,ORL,SG,72,72,2463,0.606,23.3,4.5,2.2,6.6,0.129,1.6,-0.3,1.3,2,0.719379577,32.95934959,32959349.59
18,Jarrett Allen,27,CLE,C,51,51,1405,0.67,19.5,3.9,2,6,0.204,2.1,0.5,2.6,1.6,0.709548711,32.55284553,32552845.53
111,Josh Hart,30,NYK,SF,58,44,1744,0.606,16.9,2.9,2.7,5.6,0.153,1.1,2.1,3.2,2.3,0.691738387,32.14634146,32146341.46
5,Luke Kornet,30,SAS,C,61,23,1284,0.685,10.5,4.2,2,6.2,0.232,1.6,1.9,3.6,1.8,0.661740351,31.7398374,31739837.4
75,Bam Adebayo,28,MIA,C,63,63,2022,0.552,25.4,2.2,3.2,5.5,0.13,1.5,0.5,1.9,2,0.659855323,31.33333333,31333333.33
167,Michael Porter Jr.,27,BRK,SF,52,52,1689,0.595,30.4,1.8,1.3,3.1,0.088,4.3,-1.3,3,2.1,0.648620306,30.92682927,30926829.27
66,Devin Booker,29,PHO,SG,57,57,1911,0.577,32.1,3.6,1.5,5.2,0.13,2.7,-1.1,1.6,1.7,0.606137916,30.5203252,30520325.2
16,Neemias Queta,26,BOS,C,67,66,1682,0.659,14.7,4.2,3.2,7.3,0.21,0.3,1.8,2.1,1.8,0.590446962,30.11382114,30113821.14
206,Reed Sheppard,21,HOU,SG,71,13,1867,0.56,21.9,2.1,2.6,4.7,0.121,0.9,1.3,2.2,2,0.574328572,29.82783357,29827833.57
201,Cam Spencer,25,MEM,SG,67,17,1595,0.646,17.4,4.4,0.8,5.1,0.154,2.9,-0.7,2.2,1.7,0.573322574,29.58871353,29588713.53
43,Paolo Banchero,23,ORL,PF,62,62,2170,0.571,27.8,2,2.5,4.5,0.1,1.7,-0.1,1.7,2,0.565338254,29.3495935,29349593.5
32,Paul Reed,26,DET,C,54,8,718,0.63,20.4,1.6,1.7,3.3,0.221,1.8,2.6,4.4,1.2,0.546234015,29.11047346,29110473.46
157,OG Anunoby,28,NYK,PF,59,59,1955,0.616,20,2.5,2.9,5.4,0.133,0.7,1.2,1.9,1.9,0.542966523,28.87135342,28871353.42
144,Sandro Mamukelashvili,26,TOR,C,69,13,1509,0.628,18.5,3,2.1,5.1,0.162,1.6,0.6,2.2,1.6,0.531802973,28.63223338,28632233.38
8,Mark Williams,24,PHO,C,56,52,1322,0.67,17.5,3.7,2.1,5.8,0.212,1.4,0.4,1.8,1.3,0.525296662,28.39311334,28393113.34
139,Norman Powell,32,MIA,SG,53,50,1594,0.609,27.4,2.2,1.8,3.9,0.118,2,-0.1,1.9,1.6,0.50786756,28.1539933,28153993.3
60,Stephon Castle,21,SAS,PG,60,59,1781,0.569,25.1,2.2,2.6,4.8,0.13,0.7,0.9,1.6,1.6,0.507833815,27.91487327,27914873.27
3,Mitchell Robinson,27,NYK,C,54,15,1054,0.67,10.5,2.9,2.2,5.1,0.233,1.9,1.3,3.2,1.4,0.493028803,27.67575323,27675753.23
73,Keldon Johnson,26,SAS,SF,72,0,1670,0.625,20.4,3.5,2.2,5.7,0.164,1.4,-0.2,1.2,1.3,0.48396259,27.43663319,27436633.19
76,Kel'el Ware,21,MIA,C,67,32,1507,0.605,18.1,2.5,2.9,5.4,0.171,1.6,0.1,1.8,1.4,0.463884937,27.19751315,27197513.15
70,Nikola Vučević,35,2TM,C,60,49,1740,0.577,21.6,2.6,1.8,4.4,0.122,1.6,0.1,1.6,1.6,0.461569234,26.95839311,26958393.11
243,Isaiah Joe,26,OKC,SG,63,9,1384,0.639,18.1,2.7,2.2,4.9,0.169,1.4,0.5,1.9,1.4,0.447179369,26.71927308,26719273.08
94,Luka Garza,27,BOS,C,61,4,968,0.677,17.1,3.2,1.2,4.4,0.218,1.9,0.2,2.1,1,0.428976819,26.48015304,26480153.04
14,Rudy Gobert,33,MIN,C,69,69,2172,0.674,12.8,4.6,3.6,8.2,0.182,0.3,0.9,1.1,1.7,0.420938674,26.241033,26241033
123,Saddiq Bey,26,NOP,SF,66,58,2051,0.579,21.5,4.2,1,5.2,0.122,2.3,-1.8,0.5,1.3,0.394772936,26.00191296,26001912.96
24,Goga Bitadze,26,ORL,C,54,3,812,0.706,12.8,2.5,1.3,3.8,0.227,1.1,2.2,3.3,1.1,0.391904048,25.76279292,25762792.92
12,Moussa Diabaté,24,CHO,C,64,38,1660,0.652,11.8,4.2,2.4,6.6,0.19,0.5,1,1.5,1.5,0.382330433,25.52367288,25523672.88
125,Miles Bridges,27,CHO,PF,67,67,2107,0.562,22.5,3.1,2.2,5.3,0.121,0.9,-0.3,0.6,1.4,0.373640081,25.28455285,25284552.85
116,Keyonte George,22,UTA,PG,54,54,1786,0.609,28,3.3,0.2,3.4,0.093,3,-2.1,0.9,1.3,0.37334088,25.04543281,25045432.81
22,Ausar Thompson,23,DET,SF,62,61,1596,0.53,17.4,1,3.4,4.4,0.133,-0.9,3.2,2.3,1.7,0.358942068,24.80631277,24806312.77
180,Naz Reid,26,MIN,C,69,2,1795,0.58,21.7,1.4,2.8,4.2,0.111,0.4,1,1.4,1.6,0.350487643,24.56719273,24567192.73
178,Nickeil Alexander-Walker,27,ATL,SG,69,62,2276,0.6,24.1,2.7,2.3,4.9,0.104,1.1,-0.6,0.5,1.4,0.336912088,24.32807269,24328072.69
164,Brandon Miller,23,CHO,SF,55,55,1654,0.57,28.9,1.3,2,3.4,0.098,1.4,-0.1,1.3,1.4,0.332373653,24.08895265,24088952.65
106,Andrew Wiggins,30,MIA,SF,58,58,1785,0.58,20,1.8,2.2,4,0.108,0.8,0.7,1.4,1.5,0.316695543,23.84983262,23849832.62
102,Ayo Dosunmu,26,2TM,SG,63,14,1685,0.632,20.1,3.3,1.1,4.4,0.125,1.3,-0.4,0.8,1.2,0.306844876,23.61071258,23610712.58
40,Tre Jones,26,CHI,PG,54,30,1459,0.627,18.2,3.6,1,4.6,0.151,0.6,0.4,1,1.1,0.306073445,23.37159254,23371592.54
129,Onyeka Okongwu,25,ATL,C,66,55,2045,0.592,19.9,2.4,3,5.3,0.125,0,0.8,0.8,1.4,0.303121135,23.1324725,23132472.5
236,Jaylin Williams,23,OKC,PF,57,11,1147,0.597,15.9,1.2,2.5,3.7,0.154,0,2.5,2.5,1.3,0.30011556,22.89335246,22893352.46
17,Ryan Kalkbrenner,24,CHO,C,59,30,1290,0.752,12,3.1,1.8,4.9,0.183,0.6,1.2,1.8,1.2,0.289839735,22.65423242,22654232.42
20,Nic Claxton,26,BRK,C,64,63,1807,0.588,17.6,3.2,1.5,4.7,0.124,0.4,0.6,1.1,1.4,0.279753978,22.41511239,22415112.39
28,Day'Ron Sharpe,24,BRK,C,62,7,1160,0.638,19.8,2,1.5,3.5,0.145,0.5,0.9,1.4,1,0.274415317,22.17599235,22175992.35
45,Pascal Siakam,31,IND,PF,57,57,1907,0.563,29.8,1.3,1.3,2.6,0.067,2.1,-1,1.1,1.5,0.26463899,21.93687231,21936872.31
27,T.J. McConnell,33,IND,PG,53,4,916,0.554,23.5,1.5,0.7,2.2,0.116,1.7,0.2,1.8,0.9,0.259574288,21.69775227,21697752.27
215,Bones Hyland,25,MIN,PG,63,3,977,0.611,20.3,1.8,1,2.8,0.137,1.3,0.3,1.6,0.9,0.254144435,21.45863223,21458632.23
104,Collin Sexton,27,2TM,SG,57,16,1302,0.618,25.8,2.1,1.1,3.3,0.121,1.1,-0.4,0.7,0.9,0.248273012,21.2195122,21219512.2
39,Cooper Flagg,19,DAL,SF,60,60,2028,0.548,26,0.9,2.2,3.1,0.074,0.6,0.4,1,1.5,0.242021366,20.98039216,20980392.16
71,Gary Payton II,33,GSW,SG,64,1,954,0.616,18.6,1.5,1.3,2.8,0.141,0.6,1.4,1.9,0.9,0.239749131,20.74127212,20741272.12
54,Dylan Harper,19,SAS,SG,59,1,1317,0.563,22,1.6,1.8,3.4,0.123,0,1,1.1,1,0.235792536,20.50215208,20502152.08
34,DeMar DeRozan,36,SAC,PF,72,72,2268,0.593,22.5,4.7,0.4,5.1,0.108,0.7,-0.9,-0.3,1,0.224161399,20.26303204,20263032.04
239,Julian Champagnie,24,SAS,SF,72,58,1998,0.612,15.1,2.4,2.9,5.3,0.128,0.4,0.8,1.2,1.6,0.220192753,20.023912,20023912
77,Tobias Harris,33,DET,PF,54,54,1521,0.561,18.7,1.9,2.3,4.2,0.134,0.1,0.6,0.8,1.1,0.201446285,19.87804878,19878048.78
240,Donte DiVincenzo,29,MIN,SG,72,72,2221,0.573,16.6,2.4,2.6,5,0.109,0.1,0.8,0.9,1.7,0.198568813,19.74254743,19742547.43
108,Dru Smith,28,MIA,SG,67,1,1122,0.534,15.1,1.1,1.9,3.1,0.132,-1.4,3.7,2.3,1.2,0.178817478,19.60704607,19607046.07
33,Dyson Daniels,22,ATL,SG,68,68,2246,0.539,16,2.5,3.1,5.6,0.12,-0.8,1.6,0.8,1.6,0.167522372,19.47154472,19471544.72
150,Jerami Grant,31,POR,PF,55,36,1642,0.607,23.6,2.5,1.2,3.7,0.109,0.9,-1,-0.1,0.8,0.13972165,19.33604336,19336043.36
196,Javonte Green,32,DET,SG,71,5,1259,0.595,14.7,1.5,2.3,3.8,0.145,-0.8,2.3,1.5,1.1,0.138914888,19.20054201,19200542.01
13,Jaxson Hayes,25,LAL,C,60,8,1058,0.746,12.3,3.2,1,4.2,0.188,0.4,0.3,0.7,0.7,0.131469602,19.06504065,19065040.65
183,Jordan Goodwin,27,PHO,PG,63,7,1417,0.515,17.8,1.1,2.1,3.2,0.108,0,1.3,1.2,1.1,0.12976238,18.9295393,18929539.3
165,Thomas Bryant,28,CLE,C,54,0,618,0.626,19,1.3,0.8,2.2,0.168,1.1,-0.4,0.7,0.4,0.122506516,18.79403794,18794037.94
55,Brandon Ingram,28,TOR,SF,68,68,2314,0.568,27.1,1,2.6,3.6,0.075,0.8,-0.6,0.1,1.3,0.119096927,18.65853659,18658536.59
242,Duncan Robinson,31,DET,SF,69,69,1904,0.615,15.5,3.1,2.1,5.2,0.131,0.5,-0.1,0.4,1.2,0.115622788,18.52303523,18523035.23
